"Language Packs","Sprachpakete"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Achtung: Ihr Locale Pack passt nicht zur installierten Magento Version. Für mehr Information klicken Sie <a href='%s'>hier</a>."
"Portuguese (Portugal)","Portugiesisch (Portugal)"
"Portuguese (Brazil)","Portugiesisch (Brasilien)"
"Portuguese language package pt_PT - Community Edition (CE)","Portugiesisches Sprachpaket pt_PT - Community Edition (CE)"
"Portuguese language package pt_BR - Community Edition (CE)","Portugiesisches Sprachpaket pt_BR - Community Edition (CE)"
"The <span style='color:red'>%s</span> language pack in version <span style='color:red'>%s</span> has been successfully installed.","Das Sprachpaket <span style='color:red'>%s</span> in der Version <span style='color:red'>%s</span> wurde erfolgreich installiert."
"On the <a href='%s'>Magento Connect page of the Portuguese language pack</a>, you can find more information on the latest versions.","Auf der <a href='%s'>Magento-Connect-Seite des portugiesischen Sprachpakets</a> finden Sie weitere Informationen zu aktuellen Versionen."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Für Interessierte steht ein <a href='%s'>GitHub-Repository</a> zur Verfügung. Es ist für die folgenden Zwecke vorgesehen"
"Development of current language pack versions","Entwicklung aktueller Sprachpaket-Versionen"
"Report an error / send in patches, also happy for both published releases","Fehler melden/Patches einsenden, auch gerne für bereits veröffentlichte Releases"
"Alternative Downloads (regardless of official sources)","Alternative Downloads (unabhängig der offiziellen Quellen)"
"Copy / forks for their own purposes","Kopieren/Forken für eigene Zwecke"
"Active participation in the language pack","Aktives Mitwirken am Sprachpaket"
"View Preview versions & test","Vorschau-Versionen ansehen & testen"
"Note for detailed information, the README file on the GitHub page.","Beachten Sie für detaillierte Informationen die README-Datei auf der GitHub-Seite."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","Um Magento flächendeckend übersetzen zu können, beachten Sie bitte auch die Infos in den unteren Bereichen!"
"powered by","bereitgestellt von"
"Using your own translations","Eigene Übersetzungen nutzen"
"Recommended extensions","Empfohlene Erweiterungen"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in Portugal or expand common payment methods, we recommend to install the following additional extensions.","Das installierte Sprachpaket liefert lediglich Übersetzungen der in Magento vorhandenen Texte. Wenn Sie Ihren Magento Shop auf die rechtlichen Anforderungen in Portugal vorbereiten oder um verbreitete Zahlungsarten erweitern möchten, dann empfehlen wir Ihnen zusätzlich folgende Erweiterungen zu installieren."
"Specific market adjustment for","Spezifische Marktanpassung für"
"Portuguese and European stores","Portugiesische und Europäische Shops"
"Currently not available","Derzeit nicht verfügbar"
"Common payment methods","Verbreitete Zahlungsarten"
"Debit / direct debit","Bankeinzug/Lastschrift"
"Cash On Delivery","Nachnahme"
"Payment in Advance","Vorkasse"
"Extension Key for the","Erweiterungsschlüssel für den"
"on","auf"
