"Language Packs","Language Packs"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>"
"Brazil","Brésil"
"Portugal","Portugal"
"Mozambique","Mozambique"
"Portuguese (Brazil)","Portugais (Brésil)"
"Portuguese (Portugal)","Portugais (Portugal)"
"Portuguese (Mozambique)","Portugais (Mozambique)"
"Portuguese language package pt_BR - Community Edition (CE)","Paquet de langue portugaise pt_BR - Community Edition (CE)"
"Portuguese language package pt_PT - Community Edition (CE)","Paquet de langue portugaise pt_PT - Community Edition (CE)"
"Portuguese language package pt_MZ - Community Edition (CE)","Paquet de langue portugaise pt_MZ - Community Edition (CE)"
"The <span style='color:red'>%s</span> language pack in version <span style='color:red'>%s</span> has been successfully installed.","Le pack de langue <span style='color:red'>%s</span> dans la version <span style='color:red'>%s</span> a été installé avec succès."
"On the <a href='%s'>Magento Connect page of the Portuguese language pack</a>, you can find more information on the latest versions.","Sur la <a href='%s'>Magento Connect page du pack de langue portugaise</a> que vous trouverez de plus amples informations sur les versions actuelles."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Pour les intéressés, il est un <a href='%s'>dépôt GitHub</a>. Il est prévu pour les fins suivantes:"
"Development of current language pack versions","Développement de versions de pack de langues actuelle"
"Report an error / send in patches, also happy for both published releases","Report an error / send in patches, also happy for both published releases"
"Alternative Downloads (regardless of official sources)","Alternative Downloads (regardless of official sources)"
"Copy / forks for their own purposes","Copy / forks for their own purposes"
"Active participation in the language pack","Active participation in the language pack"
"View Preview versions & test","View Preview versions & test"
"Note for detailed information, the README file on the GitHub page.","Remarque pour des informations détaillées, le fichier README sur la page GitHub."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","Afin d'assurer la couverture de la traduction Magento, s'il vous plaît voir les informations dans les paragraphes plus bas!"
"powered by","alimenté par"
"and","et"
"Translate Magento Connect Manager","Traduire Magento Connect Manager"
"To install the translation for the Magento Connect Manager, proceed as follows:","To install the translation for the Magento Connect Manager, proceed as follows:"
"In your Magento root directory in the subfolder ""%s"" rename the folder ""%s"" into ""%s"".","In your Magento root directory in the subfolder ""%s"" rename the folder ""%s"" into ""%s""."
"The directory","Le répertoire"
"or","ou"
"from","de"
"rename into ""template""","renommer en ""template"""
"The Magento Connect Manager should be changed to Portuguese now.","La Magento Connect Manager doit maintenant être changé en <span style='color:red'>portugaise</span>."
"Please note:","Notez s'il vous plaît:"
"If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!","If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!"
"The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps.","The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps."
"Using your own translations","Utilisation de vos propres traductions"
"Recommended extensions","Extensions recommandées"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","Le pack de langue installée seulement fournit des traductions de textes existants dans Magento. Si vous voulez préparer votre boutique Magento sur les exigences juridiques en %s ou développer des modes de paiement, nous vous recommandons d'installer les extensions suivantes."
"Specific market adjustment for","Ajustement du marché spécifique pour"
"Portuguese and Latin American stores","les magasins portugaises et d'Amérique latine"
"Portuguese and European stores","les magasins portugaises et européennes"
"Portuguese and African stores","les magasins portugais et africains"
"Currently not available","Actuellement indisponible"
"Common payment methods","Modes de paiement"
"Debit / direct debit","Debit / direct debit"
"Cash On Delivery","Cash On Delivery"
"Payment in Advance","Payment in Advance"
"Extension Key for the","EClé d'extension pour le"
"on","sur"
"Translate TinyMCE","Traducir TinyMCE"
"Use Portuguese language for TinyMCE Editor?","Use Portuguese language for TinyMCE Editor?"
