"New E-Goi Customers","Novos Clientes E-Goi"
"Your APi Key","A sua chave API"
"To get your API Key, login into your E-goi.com panel, go to your user menu (upper right corner), select ""Integrations"" and copy the account API key.","Para obter a sua chave API, inicie sessão na sua conta E-Goi.com e no seu painel de controlo no menu de utilizador (canto superior direito) selecione ""Integrações"" vai encontrar a sua chave API"
"Language","Língua"
"First Name","Nome"
"Last Name","Apelido"
"Email","Email"
"Username","Nome de Utilizador"
"Password","Palavra-passe"
"Telephone Prefix","Prefixo Telefone"
"Telephone Number","Número Telefone"
"Company","Empresa"
"City","Cidade"
"Country","País"
"I agree with E-Goi terms and conditions","Eu concordo com os termos e condições da E-Goi"
"<a href=""http://bo.e-goi.com/termos_uso_en.php"" target=""_blank"" >Click here to read them</a>","<a href=""http://bo.e-goi.com/termos_uso.php"" target=""_blank"" >Clique para os ler</a>"
"E-Goi Integration","Integração E-Goi"
"Setup","Instalação"
"Welcome","Bem-vindo"
"Information Channel","Canal Informação"
"Bug Report","Reportar Erro"
"Request","Pedido"
"Other Information","Outra Informação"
"Contact Reason","Motivo Contacto"
"Message","Mensagem"
"Please be as descriptive as possible","Seja o mais descritivo possível"
"Phone","Telefone"
"Also include your country prefix","Inclua também o prefixo do país"
"Attach log file","Anexar ficheiro de registo"
"No","Não"
"Yes","Sim"
"This option will send the calls log made between Magento and E-Goi","Esta opção irá enviar o registo de chamadas entre o E-Goi e o Magento"
"Information","Informação"
"Create New List","Criar Nova Lista"
"Existing Stores","Lojas Existentes"
"Store View","Vista de Loja"
"Map Existing E-Goi Lists to your Magento Store Views","Mapeie as suas Listas do E-Goi com as Vistas de Loja do Magento"
"Account Details","Detalhes Conta"
"Content","Conteúdo"
"Name","Nome"
"Sender","Remetente"
"Subject","Assunto"
"160 characters limit. [<span id=""charsLeft"">160</span> left]","Limite de 160 caracteres. [<span id=""charsLeft"">160</span> restantes]"
"Lists","Listas"
"Please Select","Por Favor Seleccione"
"Segment","Segmento"
"Only apply if in the choosen segment","Apenas será aplicado se no segment escolhido"
"Active From Date","Ativo De"
"Active To Date","Ativo Aé"
"Status","Estado"
"Active","Ativo"
"Inactive","Inativo"
"fidelitas","fidelitas"
"Template Body","Conteúdo Modelo"
"Settings","Definições"
"Event Trigger","Despoletar Evento"
"Campaign","Campanha"
"No links detected in selected campaign","Não foram detetadas ligações na campanha"
"Link","Ligação"
"Product ID","ID Produto"
"Go to Product Listing","Ir para Listagem de Produtos"
"When triggered","Quando despoletado"
"After...","Após..."
"Send Moment","Momento Envio"
"After Hours","Após Horas..."
"After Days...","Após Dias..."
"Send Only Once?","Enviar Apenas uma Vez?"
"Every Time Occurs","Sempre que ocorre"
"To the same subscriber","Para o mesmo subscritor"
"New Status","Novo Estado"
"Search Value","Valor Pesquisa"
"Separate multiple values by comma ,","Separar múltiplos valores pro vírgula ,"
"Query String Match","Termo de pesquisa coincide"
"Equal","Igual"
"Contains","Contém"
"Autoresponders Information","Informação Respostas Automáticas"
"Save and Continue Edit","Guardar e Continuar Edição"
"Edit Autoresponder","Editar Resposta Automática"
"Add Autoresponder","Adicionar Resposta Automática"
"ID","ID"
"Channel","Canal"
"SMS","SMS"
"Event","Evento"
"N. Subscribers","N. Subscritores"
"Is Active?","Ativo?"
"From Date","De:"
"To Date","Até:"
"Autoresponders","Respostas Automáticas"
"New Email Autoresponder","Nova Resposta Automática Email"
"New SMS Autoresponder","Nova Resposta Automática SMS"
"No campaigns have been sent yet.","Ainda não foram enviadas campanhas"
"Campaign Name","Nome Campanha"
"Deploy Started","Envio Iniciado"
"-Not deployed yet-","-Ainda não correu-"
"Deploy Ended","Envio Finalizado"
"Conversions","Conversões"
"Conv. Amount","Montante Conv."
"Conv. AVG","Média Conv."
"Detail","Detalhe"
"View","Ver"
"Reports","Relatórios"
"Stand By","Em Espera"
"Running","A Enviar"
"Finished","Finalizado"
"Error","Erro"
"Date","Data"
"Order Amount","Montante Encomenda"
"Order","Encomenda"
"Customer","Cliente"
"Subscriber","Subscritor"
"Campaign Conversions","Conversões Camanha"
"Back","Voltar"
"Mailing Information","Informação Lista"
"Advanced Options","Opções Avançadas"
"Campaign URL","URL Campanha"
"This is the URL from where the content will be fetched to show to the subscriber. If you set any, it's YOUR responsability to handle newsletter content in the provided URL.","Este será o URL que será chamado apra obter o conteúdo da campanha. É sua responsabilidade de inserir o conteúdo na URL que inserir"
"Campaign Information","Informação Campanha"
"Internal Name","Nome Interno"
"This name helps you internally to identify this campaign","Este noma ajuda-o a identificar internamente a campanha"
"List","Lista"
"A new campaign will be created for each List selected","Uma nova campanha será criada para cada lista seleccionada "
"Subscribers Segment","Segmento de Subscritores"
"Please note that this campaign will be sent to ALL subscribers from ALL selected segments, and not only to subscribers that are in all selected segments.","Por favor note que esta campanha será enviada para TODOS os subscritores de TODOS os segmentos selecionados e não apenas para os subscritores que estão em todas as listas"
"Multiple Segments Behavior","Comportamento para múltiplos segmentos"
"This option only applies when you have multiple segments selected","Esta opção apenas se aplica quando tempo múltiplos segmentos selecionados"
"Send only to subscribers that are in all selected Segments","Enviar apenas para subscritores que estão em todos os segmentos selecionados"
"Send to ALL subscribers in all selected segments","Enviar para TODOS os subscritores em TODOS os segmentos"
"Send At","Eniar A"
"This campaign has already runned for %d time(s)","Esta campanha já correu %d vezes"
"Links Top","Ligações Topo"
"Links Bottom","Ligações Rodapé"
"Recurring Profile","Perfil Recorrente"
"Recurring Campaign?","Campanha Recorrente?"
"Deploy Date","Data de Envio"
"In Which days?","Em que dias?"
"Unique Receiver?","Destinatário único?"
"Use this option if you do not want this campaign to be sent to the same receiver more than once.","Utilize esta opção se não deseja que esta campanha seja enviada mais que uma vez para o mesmo destinatário"
"In Which day?","Em que dia?"
"In which day?","Em que dia?"
"In which month?","Em que mês?"
"Run around","Enviar por volta das"
"Please choose the hour you want this profile to start running. Remember not to choose one hour with high traffic.","Por favor escolha a hora a que este perfil deve correr. Lembre-se de não escolher uma hora com elevado tráfego"
"First Run","Primeiro Envio"
"First time this campaign should run","O primeiro envio para esta campanha deve ocorrer a"
"End Date","Data de Fim"
"How long should this campaing run.","Por quanto tempo deve esta campanha decorrer"
"Running times","Número Envios"
"Stop sending when","Para envio quando"
"We achieve the ""End Date"" AND the ""Running Times"" number","Quando chegar ao ""Data Fim"" E ao ""Número de Envios"""
"We achieve the ""End Date"" value","Alcancemos o valor ""Data Fim"""
"We achieve the ""Running Times"" number","Alcancemos o ""Número Envios"""
"Campaigns","Campanhas"
"General","Geral"
"Sending Options","Opções de Envio"
"Links","Ligações"
"Advanced","Avançado"
"Children Campaigns","Sub-Campanhas "
"Follow Up Queue","Lista de Espera Follow Up"
"Follow Up Sents","Follow Up Enviados"
"Save","Guardar"
"Delete","Remover"
"Email F","Email F"
"SMS F","SMS F"
"Cancel this campaign? This action can not be undone","Cancelar a campanha? Esta ação não pode ser cancelada"
"Cancel Campaign","Cancelar Campanha"
"Preview","Pré-visualizar"
"Start the sending process now?","Iniciar o envio agora?"
"Save & Send","Guardar e Enviar"
"Duplicate & Save","Duplicar e Guardar"
"New Campaign","Nova Campanha"
"Deploy Date/Next Run","Data Envio/Próximo Envio"
"Recurring","Recorrente"
"Last Run","Último Envio"
"Sent/Views/Clicks","Enviado/Vis./Cliques"
"Sent","Enviado"
"U. Views","Vis. Únicas"
"U. Clicks","Cliques Ún."
"New Email Campaign","Nova Campanha de Email"
"New SMS Campaign","Nova Campanha SMS"
"List Name","Nome Lista"
"Segment Name","Nome Segmento"
"Segments Conversions","Conversões Segmentos"
"Evolution","Evolução"
"Records","Registos"
"This may take a few minutes if you have thousands of subscribers. Continue?","Este processo pode demorar vários minutos se tiver centenas de subscritores. Continuar?"
"Refresh Segment","Atualizar Segmento"
"CSV","CSV"
"Excel XML","Excel XML"
"Promotion Rule","Regra Desconto"
"Coupon Code","Código Cupão"
"Used","Utilizado"
"Subscriber Email","Email Subscritor"
"Created at","Criado A"
"Used at","Utilizado a"
"N/A","N/D"
"Coupons","Cupões"
"Event Type","Tipo Evento"
"Recipient","Destinatário"
"Views","Visualizações"
"Clicks","Cliques"
"Autoresponders Campaigns","Campanhas Auto Resposta"
"View Schedule","Mostrar Programado"
"Autoresponder","Resposta Automática"
"Cellphone","Telemóvel"
"Send at","Enviar A"
"Are you sure?","Tem a certeza?"
"Autoresponders Events","Eventos Respostas Automáticas"
"View Campaigns","Ver Campanhas"
"Action","Ação"
"View Customer","Ver Cliente"
"Unique Conversions","Conversões Únicas"
"Total Records","Registos Totais"
"Change","Alterar"
"View Records","Ver Registos"
"Segments Evolutions Summary","Sumário Evolução Segmentos"
"Segments Evolutions","Evolução Segmentos"
"Follow Ups","Acompanhamentos"
