"Actions","Ações"
"An error occurred while marking notification as read.","Ocorreu um erro ao marcar a notificação como lida."
"An error occurred while marking the messages as read.","Ocorreu um erro ao marcar as mensagens como lidas."
"An error occurred while removing messages.","Ocorreu um erro ao remover as mensagens."
"An error occurred while removing the message.","Ocorreu um erro ao remover a mensagem."
"Are you sure?","Tem a certeza?"
"Date Added","Data Adição"
"Last Update","Última Atualização"
"Mark as Read","Marcar como lida"
"Mark as read","Marcar como lida"
"Message","Mensagem"
"Messages Inbox","Caixa de Entrada"
"Notifications","Notificações"
"Please select messages.","Por favor selecione as mensagens"
"Read Details","Ler detalhes"
"Remove","Remover"
"Severity","Importância"
"Show List","Mostrar Lista"
"Show Toolbar","Mostrar Barra de Ferramentas"
"The message has been marked as read.","A mensagem foi marcada como lida."
"The message has been removed.","A mensagem foi removida."
"Total of %d record(s) have been marked as read.","Um total de %d registos foram marcados como lidos."
"Total of %d record(s) have been removed.","Um total de %d registos foram removidos."
"Unable to proceed. Please, try again.","Incapaz de completar ação. Por favor tente novamente."
"Update Frequency","Frequência Atualização"
"Use HTTPS to Get Feed","Utilizar HTTPS para obtenção feed"
"Wrong message type","Tipo de mensagem errado"
"critical","Crítico"
"major","IMPORTANTE"
"minor","MENOR"
"notice","INFORMAÇÃO"
