"--Please Select--","--Por favor selecione--"
"API Login ID","Login ID API"
"Accepted Currency","Moeda aceite"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","O montante de %s foi aprovado pelo serviço de pagamentos. ID transação: ""%s"""
"Authorize.net Direct Post","Authorize.net Direct Post"
"Authorize.net Direct Post (Deprecated)","Authorize.net Direct Post (obsoleto)"
"Card Verification Number","Número Verificação Cartão Crédito"
"Card Verification Number Visual Reference","Referência Visual Verificação Número Cartão Crédito"
"Close","Fechar"
"Credit Card Information","Informação Cartão Crédito"
"Credit Card Number","Número Cartão Crédito"
"Credit Card Type","Tipo Cartão Crédito"
"Credit Card Types","Tipos Cartão Crédito"
"Credit Card Verification","Verificação Cartão Crédito"
"Debug","Debug"
"Email Customer","Email cliente"
"Enabled","Ativo"
"Expiration Date","Data expiração"
"Gateway URL","Gateway URL"
"Maximum Order Total","Total máximo encomenda"
"Merchant MD5","MD5 Comerciante"
"Merchant's Email","Email Comerciante"
"Minimum Order Total","Mínimo total encomenda"
"New Order Status","Estado nova encomenda"
"Order saving error: %s","Erro ao guardar encomenda: %s"
"Payment Action","Ação pagamento"
"Payment authorization error.","Erro autorização pagamento."
"Payment authorization error. Transacion id is empty.","Erro autorização pagamento. ID transação está vazio."
"Payment error. Order was not found.","Erro pagamento. Encomenda não encontrada."
"Payment error. Paid amount doesn\'t match the order amount.","Erro pagamento. O montante pedido não coincide com o montante da encomenda."
"Payment from Applicable Countries","Pagamento de países aplicáveis"
"Payment from Specific Countries","Pagamento de países específicos"
"Please, choose payment method","Por favor, escolha o método de pagamento"
"Response hash validation failed. Transaction declined.","Validação do hash de resposta falhada. Transação recusada."
"Sort Order","Ordenação"
"Test Mode","Modo de testes"
"The order has been created.","A encomenda foi criada."
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro ao processar a sua encomenda. Por favor entre em contacto connosco ou tente novamente."
"Title","Título"
"Transaction Key","Chave de transação"
"What is this?","O que é isto?"
"You will be required to enter your payment details before you place an order.","Será necessário inserir os dados de pagamento antes de realizar a encomenda."
