"Action","Ação"
"An error occurred while creating the backup.","Ocorreu um erro ao criar a cópia de segurança"
"An error occurred while writing to the backup file ""%s"".","Ocorreu um erro ao escrever para o ficheiro de cópia de segurança ""%s""."
"Are you sure you want to delete the selected backup(s)?","Tem a certeza que deseja remover a cópia de segurança?"
"Backup Type","Tipo de Cópia de Segurança"
"Backup file ""%s"" cannot be read from or written to.","O ficheiro da cópia de segurança ""%s"" não pode ser lido ou escrito."
"Backup file ""%s"" does not exist.","O ficheiro ""%s"" da cópia de segurança não existe."
"Backup file does not exist.","O ficheiro da cópia de segurança não existe."
"Backup file handler was unspecified.","O handler da cópia de segurança não foi especificado."
"Backup file not found","Ficheiro da Cópia de Segurança não encontrada"
"Backup file path was not specified.","Caminho para a cópia de segurança não especificado."
"Backups","Cópias de Segurança"
"Cannot read backup file.","Não foi possível ler o ficheiro da cópia de segurança."
"Create Backup","Criar cópia segurança"
"Database","Base de Dados"
"Database Backup","Cópia de Segurança Base de Dados"
"Database and Media","Base de Dados e Media"
"Database and Media Backup","Base de Dados e Multimédia"
"Database was successfuly backed up.","Cópia de segurança da Base de Dados corretamente criada"
"Download","Transferir"
"Enable Scheduled Backup","Ativar Cópia de Segurança Agendada"
"Failed to connect to FTP","Falha ao ligar ao servidor FTP"
"Failed to delete one or several backups.","Falha ao remover um ou mais ficheiros de cópia de segurança"
"Failed to rollback","Falha ao repor os ficheiros"
"Failed to validate FTP","Falha ao validar o FTP"
"Frequency","Frequência"
"Invalid Password.","Palavra-passe inválida"
"Maintenance Mode","Modo de Manutenção"
"Name","Nome"
"Not enough free space to create backup.","Não tem espaço livre em disco suficiente para realizar a cópia de segurança"
"Not enough permissions to create backup.","Não tem permissões suficientes para criar a cópia de segurança"
"Not enough permissions to perform rollback","Não tem permissões suficientes para repor a cópia de segurança"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Por favor ou desmarque a opção ""Colocar a loja em modo de manutenção"" ou atualize as permissões para prosseguir com a cópia de segurança."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Por favor ou desmarque a opção ""Colocar a loja em modo de manutenção"" ou atualize as permissões para prosseguir com a reversão."
"Put store on the maintenance mode while backup's creation","Colocar a loja em modo de manutenção enquanto decorre o processo de criação da cópia de segurança"
"Rollback","Repor"
"Scheduled Backup Settings","Definições de Cópias de Segurança Agendadas"
"Size, Bytes","Tamanho, Bytes"
"Start Time","Tempo Início"
"System","Sistema"
"System (excluding Media)","Sistema (exceto Media)"
"System Backup","Cópia de Segurança Sistema"
"System couldn't put store on the maintenance mode","O sistema não conseguiu colocar a loja em modo de manutenção."
"The database and media backup has been created.","A cópia de segurança da base de dados e pasta de multimédia foi criado."
"The database backup has been created.","A cópia de segurança da base de dados foi criado."
"The file was compressed with Zlib, but this extension is not installed on server.","O ficheiro foi comprimido com a extensão ZLib, mas esta extensão não foi encontrada no servidor."
"The selected backup(s) has been deleted.","As cópias de segurança selecionadas foram removidas"
"The system (excluding Media) backup has been created.","A cópia de segurança do sistema (excluindo multimédia) foi criado."
"The system backup has been created.","A cópia de segurança do sistema foi criada."
"Time","Hora"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Não foi possível criar a cópia de segurança. Por favor tente novamente mais tarde."
"Unable to save the cron expression.","Não foi possível guardar a expressão cron"
"Wrong order of creation for new backup.","Ordem de criação de nova cópia de segurança errada"
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Não tem permissões suficientes para ativar o Modo de Manutenção durante esta operação."
