"%1$s incl tax.","%1$s incl. imposto"
"* Required Fields","* Campos obrigatórios"
"-- Select --","-- Selecionar --"
"Add New Option","Adicionar nova opção"
"Add Selection","Adicionar seleção"
"As Low as","Desde de"
"As low as","A partir de"
"Bundle Items","Pacote de produtos"
"Bundle Product","Pacote de produtos"
"Bundle Product View Summary","Bundle produto resumo vista"
"Buy %1$s","Compre %1$s"
"Buy %1$s for","Compre %1$s por"
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. imposto)"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Buy %1$s with %2$s discount each","Compre %1$s com %2$s de desconto em cada"
"Catalog Product View (Bundle)","Catálogo produto visualizar (pacote)"
"Checkbox","Caixa de seleção"
"Choose a selection...","Faça a sua seleção"
"Click for price","Clique para preço"
"Close","Fechar"
"Default","Por omissão"
"Default Qty","Qt. por omissão"
"Default Title","Título omissão"
"Drop-down","Menu de seleção"
"Dynamic","Dinâmico"
"Excl. Tax","Sem imposto"
"Excl. Tax:","Sem imposto:"
"Fixed","Fixo"
"From","De"
"From:","De:"
"Gift Message","Mensagem de presente"
"Incl. Tax","Com imposto"
"Incl. Tax:","Com imposto:"
"Input Type","Tipo de entrada"
"Is Required","É obrigatório"
"Message:","Mensagem:"
"Multiple Select","Seleção múltipla"
"N/A","N/D"
"No options of this product are available.","Não existem opções disponíveis para este produto"
"None","Nenhum"
"Percent","Percentagem"
"Percent Discount","Desconto percentagem"
"Please Select Products to Add","Por favor selecione os produtos a adicionar"
"Please enter a number greater 0 in this field.","Por favor insira um número maior que 0 neste campo."
"Please enter search conditions to view products.","Por favor insira condições de pesquisa para visualizar produtos."
"Please select options for product.","Por favor selecione as opções para o produto."
"Please specify product option(s).","Por favor, especifique as opções do(s) produto(s)."
"Position","Posição"
"Price Range","Variação preço"
"Price Type","Tipo preço"
"Price as configured","Preço como definido"
"Qty:","Qtd:"
"Radio Buttons","Botões de seleção"
"Required options are not selected.","As opções exigidas não foram selecionadas."
"SKU","SKU"
"Selected required options are not available.","As opções obrigatórias selecionadas não estão disponíveis."
"Separately","Separadamente"
"Ship Bundle Items","Enviar pacote de itens"
"Shipment","Envio"
"Store View Title","Título da vista de loja"
"There is no defined renderer for ""%s"" option type.","Não existe um render definido para o tipo de opção ""%s"""
"This product is also part of bundle(s)","Este produto também faz parte de um pacote(s)"
"To","Até"
"To:","Para:"
"Together","Juntos"
"Total incl. Tax: %1$s","Total com imposto: %1$s"
"Use Default Value","Utilizar valor por omissão"
"User Defined Qty","Qtd definida pelo utilizador"
"and","e"
"each","cada"
"save","poupe"
