"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%s desconto no catálogo baseadas no atributo ""%s"" foram desativadas."
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar nova regra"
"An error occurred while deleting the rule. Please review the log and try again.","Ocorreu um erro ao remover a regra. Por favor analise o ficheiro de registo e tente novamente."
"An error occurred while saving the rule data. Please review the log and try again.","Ocorreu um erro ao guardar a regra. Por favor analise o ficheiro de registo e tente novamente."
"Apply","Aplicar"
"Apply Rules","Aplicar regras"
"Attribute Set","Grupo de atributos"
"By Fixed Amount","Por montante fixo"
"By Percentage of the Original Price","Por percentagem do preço original"
"Catalog","Catálogo"
"Catalog Price Rule","Descontos no catálogo"
"Catalog Price Rules","Descontos no catálogo"
"Category","Categoria"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para todos os produtos)"
"Conditions Combination","Combinação de condições"
"Customer Groups","Grupos de clientes"
"Date Expire","Data validade"
"Date From","Data início"
"Date Start","Data início"
"Date To","Data fim"
"Description","Descrição"
"Discount Amount","Valor desconto"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra '%s'"
"Enable Discount to Subproducts","Ativar desconto para subprodutos"
"Expiration Date","Data de validade"
"From Date","Data início"
"General Information","Informação geral"
"ID","ID"
"Inactive","Inativo"
"New Rule","Nova regra"
"No","Não"
"Options","Opções"
"Priority","Prioridade"
"Product Attribute","Atributo do produto"
"Promotions","Promoções"
"Rule Information","Informação da regra"
"Rule Name","Nome da regra"
"Save and Apply","Guardar e aplicar"
"Save and Continue Edit","Guardar e continuar edição"
"Start Date","Data de início"
"Status","Estado"
"Stop Further Rules Processing","Parar processamento de regras"
"The rule has been deleted.","A regra foi removida"
"The rule has been saved.","A regra foi guardada"
"The rules have been applied.","As regras foram aplicadas."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","There are rules that have been changed but were not applied. Only users with exclusive access can apply rules."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Existem regras que foram alteradas mas ainda não aplicadas. Por favor clique em aplicar regras para que estas sejam aplicas de imediato no catálogo."
"This rule no longer exists.","Esta regra já não existe."
"To Date","Data término"
"To Fixed Amount","Para montante fixo"
"To Percentage of the Original Price","Para percentagem do preço original"
"Type","Tipo"
"Unable to apply rules.","Incapaz de aplicar regras."
"Unable to find a rule to delete.","Não foi possível encontrar a regra a remover"
"Update Prices Using the Following Information","Atualizar os preços utilizando a seguinte informação"
"Update product's %s %s: %s","Atualizar produtos %s %s: %s"
"Website","Site"
"Websites","Sites"
"Wrong rule specified","Regra inválida especificada"
"Wrong rule specified.","Regra inválida especificada."
"Yes","Sim"
