"A block identifier with the same properties already exists in the selected store.","Um identificador de bloco com as mesmas propriedades já existe na loja selecionada."
"A directory with the same name already exists. Please try another folder name.","Já existe um diretório com o mesmo nome. Por favor tente com um nome diferente."
"A page URL key for specified store already exists.","Já existe uma página com a chave de URL especifica."
"Action","Ação"
"Active From","Ativo de"
"Active To","Ativo acima"
"Add New Block","Adicionar novo bloco"
"Add New Page","Adicionar página"
"All Countries","Todos os países"
"An error occurred while saving the page.","Ocorreu um erro ao guardar a página."
"Anchor Custom Text","Texto Personalizado da Âncora"
"Anchor Custom Title","Título Personalizado da Âncora"
"Apply To Products","Aplicar aos produtos"
"Are you sure you want to delete current folder?","Tem a certeza que desejar remover a pasta atual?"
"Are you sure you want to delete the selected file?","Tem a certeza que desejar remover o ficheiro atual?"
"Available Product Listing Sort By","Lista de produtos disponíveis classificar por"
"Block","Bloco"
"Block Information","Informação do bloco"
"Block Title","Título do bloco"
"CMS","CMS"
"CMS Block","Bloco CMS"
"CMS Content Wrapper","Contentor conteúdo CMS"
"CMS Home Page","Página principal CMS"
"CMS No Cookies Page","CMS página sem cookies"
"CMS No Route Page","CMS sem rota de página"
"CMS No-Route Page","CMS sem route"
"CMS Page","Página CMS"
"CMS Page Link","Ligação para página CMS"
"CMS Page Link Block Template","Página CMS Modelo de Ligação de Bloco"
"CMS Page Link Inline Template","Página CMS Ligação Modelo Local"
"CMS Pages (All)","Páginas CMS (Todas)"
"CMS Static Block","CMS bloco estático"
"CMS Static Block Default Template","CMS bloco estático Modelo por omissão"
"Cannot create new directory.","Não foi possível criar um novo diretório."
"Cannot delete directory %s.","Não foi possível remover o diretório %s."
"Cannot delete root directory %s.","Não foi possível remover o diretório root %."
"Cannot upload file.","Não foi possível carregar o ficheiro."
"Collapse All","Fechar tudo"
"Content","Conteúdo"
"Content Heading","Título conteúdo"
"Content Management","Gestão conteúdo"
"Contents of a Static Block","Conteúdo de bloco estático"
"Create Folder...","Criar pasta..."
"Custom Design","Desenho personalizado"
"Custom Design From","Desenho personalizado de"
"Custom Design To","Desenho personalizado até"
"Custom Layout","Desenho personalizado"
"Custom Layout Update","Atualização de desenho personalizado"
"Custom Layout Update XML","Atualização de desenho personalizado ao XML"
"Custom Theme","Tema personalizado"
"Customer Tax Class Information","Informação da Classe de Imposto do Clientes"
"Date Created","Data Criação"
"Default Product Listing Sort By","Lista de produtos classificados por padrão"
"Delete Block","Remover bloco"
"Delete File","Remover ficheiro"
"Delete Folder","Remover pasta"
"Delete Page","Remover página"
"Description","Descrição"
"Design","Desenho"
"Disabled","Inativo"
"Disabled Completely","Desativar por completo"
"Disabled by Default","Inativo por omissão"
"Display Mode","Modo da visualização"
"Display Settings","Configuração da visualização"
"Edit Block","Editar bloco"
"Edit Block '%s'","Editar bloco '%s'"
"Edit Page","Editar página"
"Edit Page '%s'","Editar página '%s'"
"Enable WYSIWYG Editor","Ativar editor WYSIWYG"
"Enabled","Ativo"
"Enabled by Default","Ativar por omissão"
"Expand All","Expandir tudo"
"General Information","Informação geral"
"Go to Home Page","Ir para a página Inicial"
"Home","Início"
"ID","ID"
"Identifier","Identificador"
"If empty, the Page Title will be used","Se em branco, o título da página será utilizado"
"Images (%s)","Imagens (%s)"
"Include in Navigation Menu","Incluir no menu de navegação"
"Insert File","Inserir Ficheiro"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nome de pasta inválido. Por favor utilize apenas letras, números, sublinhado e hífenes."
"Keywords","Palavras-chave"
"Last Modified","Última Modificação"
"Layered Navigation Price Step","Nível de preço de navegação filtrável"
"Layout","Apresentação"
"Layout Update XML","Atualização apresentação XML"
"Link to a CMS Page","Hiperligação a uma página CMS"
"Manage Pages","Gestão de páginas"
"Maximum 255 chars","Máximo de 255 caracteres"
"Media Gallery","Galeria de media"
"Media Storage","Armazenamento de média"
"Meta Data","Meta Data"
"Meta Description","Meta descrição"
"Meta Information","Meta informação"
"Meta Keywords","Meta Palavras-chave"
"Meta Title","Meta título"
"New Block","Novo Bloco"
"New Folder Name:","Nome da nova pasta:"
"New Page","Nova página"
"No files found","Não foram encontrados ficheiros"
"Page Information","Informação da página"
"Page Layout","Apresentação da página"
"Page Status","Estado da página"
"Page Title","Título da página"
"Pages","Páginas"
"Product Tax Class Information","Informação da classe de imposto do produto"
"Redirect to CMS-page if Cookies are Disabled","Redirecionar para a página CMS se os cookies estiverem inativos"
"Relative to Website Base URL","Relativo à URL base do site"
"Save Block","Guardar Bloco"
"Save Page","Guardar Página"
"Save Process","Guardar Processo"
"Select Block...","Selecione o Bloco..."
"Select Page...","Selecione a Página..."
"Show Breadcrumbs for CMS Pages","Mostrar caminho nas páginas CMS"
"Show Notice if JavaScript is Disabled","Mostrar informação se JavaScript não estiver ativo."
"Static Blocks","Blocos Estáticos"
"Status","Estado"
"Storage Root","Raíz Armazenamento"
"Store View","Vista de Loja"
"Template","Template"
"The block has been deleted.","O bloco foi removido."
"The block has been saved.","O bloco foi guardado."
"The directory %s is not writable by server.","O Diretório %s não é passível de escrita pelo servidor."
"The page URL key cannot consist only of numbers.","A chave de URL não pode ser apenas números."
"The page URL key contains capital letters or disallowed symbols.","A chave de URL contém Letras Maiúsculas ou símbolos não permitidos."
"The page has been deleted.","A página foi removida."
"The page has been saved.","A página foi guardada."
"The static block content cannot contain  directive with its self.","O bloco estático não pode conter referência a ele próprio."
"The static block content cannot contain directive with its self.","O bloco estático não pode conter referência a ele próprio."
"This block no longer exists.","A página já não existe."
"This page no longer exists.","A página já não existe."
"Thumbnail Image","Imagem em miniatura"
"Title","Título"
"URL Key","Chave URL"
"Unable to find a block to delete.","Não foi possível encontrar o bloco a remover"
"Unable to find a page to delete.","Não foi possível encontrar a página a remover"
"Use Parent Category Settings","Use a configuração da categoria principal"
"WYSIWYG Options","Opções WYSIWYG"
"px.","px."
