"Collected Files Count","Total ficheiros coletados"
"Compilation","Compilação"
"Compilation State","Estado compilação"
"Compilation error","Erro compilação"
"Compiled","Compilado"
"Compiled Scopes Count","Total de âmbitos compilados"
"Compiler Status","Estado compilação"
"Compiler include path is disabled.","O include path do compilador está inativo"
"Compiler include path is enabled.","O include path do compilador está ativo."
"Directory ""%s"" must be writeable","O diretório ""%s"" tem que ter permissões de escrita."
"Disable","Desativar"
"Disabled","Inativo"
"Enable","Ativo"
"Enabled","Ativo"
"File ""%s"" must be writeable","O ficheiro ""%s"" tem que ter permissões de escrita"
"Not Compiled","Não compilado"
"Run Compilation Process","Correr processo de compilação"
"Scopes Compilation Settings","Definições de compilação de âmbito"
"System","Sistema"
"The compilation has completed.","A compilação terminou"
"Tools","Ferramentas"
