"-- Please Select --","- Selecionar -"
"Add to Cart","Adicionar ao carrinho"
"Choose an Option...","Escolha uma opção ..."
"Configurable Swatches","Amostras configuráveis"
"Enabled","Ativado"
"General Settings","Configurações gerais"
"Height","Altura"
"In Stock","Em estoque"
"Innermost dimensions, not including border, in pixels","Dimensões mais íntimas, sem moldura em pixels"
"Out of Stock","Fora do estoque"
"Previous","Anterior"
"Product Attribute to Use for Swatches in Product Listing","Atributo item para usar como mostra a lista de itens"
"Product Attributes to Show as Swatches in Product Detail","Atributos Item as amostras para mostrar os detalhes do artigo"
"Remove This Item","Remover este item"
"Swatch Dimensions in Layered Navigation","Dimensões de amostras em camadas de navegação"
"Swatch Dimensions in Product Listing","O tamanho da amostra na lista de itens"
"Swatch Dimensions on Product Detail Page","As dimensões da amostra em páginas de detalhes de item"
"Width","Largura"
