"1.5.0.0 & later","1.5.0.0 e posteriores"
"Action","Ação"
"Add Author","Adicionar autor"
"Add Contents Path","Adicionar caminho conteúdo"
"Add PHP Extension dependency","Adicionar dependência extensão PHP"
"Add Package dependency","Adicionar dependência pacote"
"Add files","Adicionar ficheiros"
"Authors","Autores"
"Channel","Canal"
"Contents","Conteúdo"
"Create Extension Package","Criar pacote de extensão"
"Dependencies","Dependências"
"Description","Descrição"
"Edit Extension","Editar extensão"
"Email","Email"
"Extension","Extensão"
"Extensions","Extensões"
"Failed to create the package.","Falha ao criar o pacote."
"Failed to load the package data.","Falha ao carregar dados do pacote."
"Failed to save the package.","Falha ao guardar o pacote."
"Files","Ficheiros"
"Folder","Pasta"
"Ignore","Ignorar"
"Include","Incluir"
"License","Licença"
"License URI","URI Licença"
"Load Local Package","Carregar pacote locale"
"Load local Package","Carregar pacote locale"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Gestor Magento Connect"
"Max","Máx."
"Maximum","Máximo"
"Min","Min."
"Minimum","Mínimo"
"Name","Nome"
"New Extension","Nova Extensão"
"PHP Version","Versão PHP"
"Package","Pacote"
"Package Extensions","Criar pacote extensões"
"Package File Name","Nome ficheiro pacote"
"Package Info","Informação pacote"
"Packages","Pacotes"
"Path","Caminho"
"Pre-1.5.0.0","Pré-1.5.0.0"
"Release Info","Informação versão"
"Remove","Remover"
"Save As...","Guardar como..."
"Save Data and Create Package","Guardar dados e criar pacote"
"Save package with custom package file name","Guardar pacote com nome personalizado"
"Summary","Sumário"
"Supported releases","Versões Suportadas"
"System","Sistema"
"Target","Destino"
"The package %s data has been loaded.","Os dados do pacote %s foram carregados."
"The package data has been saved.","Os dados do pacote foram guardados."
"There was a problem saving package data","Ocorreu um erro ao guardar os dados do pacote"
"Type","Tipo"
"User","Utilizador"
