"Currency","Moeda"
"Custom currency symbols were applied successfully.","Símbolos personalizados de moeda aplicados com sucesso."
"Manage Currency","Gestão moeda"
"Manage Currency Rates","Gestão taxas câmbio moeda"
"Manage Currency Symbols","Gestão símbolos de moeda"
"Rates","Taxas"
"Save Currency Rates","Guardar as taxas de câmbio"
"Save Currency Symbols","Guardar símbolos de moeda"
"Symbol","Símbolo"
"Symbols","Símbolos"
"System","Sistema"
"Use Default","Utilizar normal"
"Use Standard","Utilizar normal"
"Use Website","Utilizar site"
