"Add","Adicionar"
"Add New Row","Adicionar Novo Registo"
"Add links and samples to downloadable product","Adicionar ligações e demonstrações ao produto descarregável"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","São recomendados caracteres alfanuméricos, sublinhado e hiféns para o nome dos ficheiros. Outros caracteres serão substituídos por _ "
"An error occurred while getting the requested content.","Ocorreu um erro ao obter o conteúdo pedido."
"An error occurred while getting the requested content. Please contact the store owner.","Ocorreu um erro ao obter o conteúdo pedido. Por favor contacte o dono da loja."
"An error occurred while saving the file(s).","Ocorreu um erro ao guardar o(s) ficheiro(s)"
"Availability:","Disponibilidade:"
"Back","Voltar"
"Canceled","Cancelado"
"Cannot connect to remote host, error: %s.","Não foi possível ligar-se ao servidor remoto, erro: %s."
"Catalog Product View (Downloadable)","Catálogo Produto Visualizar (Descarregáveis)"
"Category API","API Categoria"
"Customer My Account Downloadable Items","Cliente A Minha Conta Itens Descarregáveis"
"Date","Data"
"Default Link Title","Título por omissão da ligação"
"Default Maximum Number of Downloads","Número Máximo de Descargas por Omissão"
"Default Sample Title","Título por omissão da amostra"
"Delete","Remover"
"Disable Guest Checkout if Cart Contains Downloadable Items","Desativar Finalização de Encomenda para convidados se o carrinho de compras contiver itens para descarga"
"Downloadable Information","Informação de Descarregamento"
"Downloadable Product","Produto Descarregável"
"Downloadable Product Options","Opções de Produto Descarregável"
"Downloadable Product Section","Secção Produto Descarregável"
"Edit","Editar"
"Edit item parameters","Editar parâmetros do item"
"Excl. Tax","Sem Imposto"
"File","Ficheiro"
"From:","De:"
"Gift Message","Mensagem de Presente"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir para <a href=""%s"">Os Meus Produtos Descarregáveis</a>"
"Guest checkout will only work with shareable.","Finalização de Encomenda como convidado apenas funcionará com partilhável."
"In stock","Disponível"
"Incl. Tax","Com Imposto"
"Invalid download URL host.","Servidor de URL de transferência inválido."
"Invalid download URL scheme.","Tipo de URL de descarregamento inválido."
"Invalid download link type.","Tipo de URL de descarregamento inválido."
"Invoiced","Faturado"
"Links can be purchased separately","Ligações podem ser adquiridas separadamente"
"List","Lista"
"Max. Downloads","Máx. Descargas"
"Message:","Mensagem:"
"Move","Mover"
"Move to wishlist","Mover para Favoritos"
"My Downloadable Products","Os Meus Produtos Descarregáveis"
"Open Links in New Window","Abrir Ligações numa Nova Janela"
"Order #","Encomenda #"
"Order Item Status to Enable Downloads","Estado do item na encomenda para ativar downloads"
"Order id cannot be null","A id da encomenda não pode ser null"
"Order item id cannot be null","O Item da encomenda não pode ser null"
"Ordered","Encomendado"
"Out of stock","Indisponível"
"Pending","Pendente"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Por favor inicie sessão para descarregar o seu produto ou encomenda <a href=""%s"">%s</a>."
"Please log in to download your product.","Por favor inicie sessão para transferir o seu produto."
"Please set resource file and link type.","Por favor defina o ficheiro de recurso e o tipo de ligação."
"Please specify product link(s).","Por favor defina a(s) ligação(ões) do produto"
"Price","Preço"
"Product downloadable links","Ligação de Descarregamento do Produto"
"Qty","Qt"
"Refunded","Reembolsado"
"Remaining Downloads","Descargas Restantes"
"Remove","Remover"
"Remove Item","Remover Item"
"Remove links and samples from downloadable product","Remover ligações e demonstrações do produto descarregável"
"Requested link does not exist.","A Hiperligação pedida não foi encontrada."
"Retrieve links and samples list from downloadable product","Obter a lista de ligações e demonstrações de produto descarregável"
"SKU","SKU"
"Sample","Amostra"
"See price before order confirmation.","Mostrar preço antes de confirmação encomenda."
"Shareable","Partilhável"
"Shipped","Enviado"
"Sorry, there was an error getting requested content. Please contact the store owner.","Pedimos desculpa mas ocorreu um erro ao obter o conteúdo pretendido. Por favor contacte o administrador da loja."
"Sort Order","Ordenação"
"Start Download","Iniciar Descarga"
"Status","Estado"
"Subtotal","Subtotal"
"The file does not exist.","O ficheiro não existe"
"The link has expired.","A Hiperligação expirou"
"The link is not available.","A Hiperligação não está disponível"
"There are files that were selected but not uploaded yet. Please upload or remove them first","Existem ficheiros que foram selecionados mas que ainda não foram carregados. Por favor carregue-os ou remova-os antes de continuar."
"Title","Título"
"To:","Para:"
"U","U"
"Unlimited","Ilimitado"
"Update","Atualizar"
"Use Content-Disposition","Utilizar Content-Disposition"
"Use Default Value","Utilizar Valor por Omissão"
"View Order","Ver encomenda"
"What's this?","O que é isto?"
"You have not purchased any downloadable products yet.","Ainda não comprou produtos passíveis de serem transferidos"
"attachment","anexo"
"download","Transferir"
"inline","no local"
"sample","amostra"
