"Active","Ativo"
"Add Attribute Mapping","Adicionar atributo de mapeamento"
"Add New Attribute","Adicionar novo atributo"
"Add to Google Base","Adicionar ao Google Merchant Center"
"Are you sure?","Tem a certeza?"
"Attribute","Atributo"
"Attribute Set","Grupo de atributos"
"Attribute Set and Item Type","Grupo de atributos e tipo de item"
"Attributes","Atributos"
"Attributes Mapping","Mapeamento atributos"
"Attributes Set","Grupo de atributos"
"AuthSub","AuthSub"
"Available Products","Produtos disponiveís"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Moeda base deve ser definida para %s para %s na configuração do sistema. Caso contrário o preços dos itens não estará correto no Google Merchant Center."
"Cannot update Google Base Item for Store '%s'","Não foi possível atualizar o Google Merchant Center item para a loja %s"
"Captcha confirmation error: %s","Erro de confirmação do captcha: %s"
"Captcha has been confirmed.","A imagem de verificação foi confirmada."
"Catalog","Catálogo"
"Clicks","Cliques"
"ClientLogin","Inicio de sessão do cliente"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","Mapeamento atual será recarregado. Continuar?"
"Custom attribute, no mapping","Atributo personalizado sem mapeamento"
"Delete","Remover"
"Delete Mapping","Remover mapeamento"
"Edit Item Type","Editar tipo de item"
"Edit Item Type ""%s""","Editar tipo de item ""%s"""
"Error: %s","Erro: %s"
"Expires","Expira"
"Google","Google"
"Google Base","Google Merchant Center (GMC)"
"Google Base Attribute","Atributo do Google Merchant Center"
"Google Base ID","Google Merchant Center ID"
"Google Base Item Type","Tipo de item do Google Merchant Center"
"Google Base Item type","Tipo de item do Google Merchant Center"
"Google Base Items","Itens do Google Merchant Center"
"Google base","Google Merchant Center (GMC)"
"Hide","Ocultar"
"Hosted","Alojamento próprio"
"Hosted or Google","Alojamento próprio ou Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modelo de produto inválido para o item Google Merchant Center"
"Item Type was deleted","O tipo de item foi removido"
"Item Types","Tipos de itens"
"Item model is not specified to delete Google Base entry.","O modelo do item não está especificado para remover a entrada no Google Merchant Center."
"Items","Itens"
"Manage Attribute Mapping","Gerir mapeamento de atributos"
"Manage Attributes","Gerir atributos"
"Manage Items","Gerir itens"
"New Item Type","Novo tipo de item"
"New ItemType","Novo tipo de item"
"No","Não"
"No items were deleted from Google Base","Não foram removidos itens do Google Merchant Center"
"No items were published","Não foram publicados itens"
"No items were saved as inactive items","Não existem itens guardados com inativos"
"No products were added to Google Base","Não foram adicionados produtos ao Google Merchant Center"
"Object model is not specified to save Google Base entry.","O modelo do item não está especificado para guardar a entrada no Google Merchant Center."
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, selecione grupo de atributos e tipo de item do Google para carregar os atributos."
"Product Name","Nome produto"
"Publish","Publicar"
"Published","publicado"
"Remove","Remover"
"Save Mapping","Guardar mapeamento"
"Session expired during export. Please revise exported products and repeat the process if necessary.","A sessão expirou durante a exportação. Por favor analise os produtos exportados e repita o processo se necessário."
"Synchronize","Sincronizar"
"Target Country","País de destino"
"The item type has been saved.","O tipo de item foi guardado."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta ação irá atualizar as estatísticas dos itens e remover os que não estão disponíveis no Google Merchant Center. Continuar?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Um total de %d item(ns) foram removidos. Um total de %d item(ns) foram atualizados."
"Total of %d items(s) have been published.","Um total de %d produtos foram publicados."
"Total of %d items(s) have been removed from Google Base.","Um total de %d item(ns) foram removidos do Google Merchant Center"
"Total of %d items(s) have been saved as inactive items.","Um total de %d item(ns) foram marcados com inativos."
"Total of %d product(s) have been added to Google Base.","Um total de %d item(ns) foram adicionados ao Google Merchant Center."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Incapaz de se ligar ao Google Merchant Center. Por favor, verifique as opções da conta em configuração."
"Unable to select a Store View.","Não é possível selecionar uma vista de loja."
"View Available Products","Visualizar produtos disponíveis"
"View Item in Google Base","Visualizar item no Google Merchant Center"
"Yes","Sim"
