"* Select shipping method","* Selecione o método de envio"
"2Day","2º dia"
"2nd Day Air","2º dia air"
"2nd Day Air AM","2º dia air AM"
"3 Day Select","3º dia select"
"<br />Warning: <strong>%s</strong><br />","<br />Atenção: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Atenção!</strong> Esta opção desativa o montante de envio calculado pelo comerciante. Com esta opção, a API do Google ignora qualquer tentativa para alterar preços de envio."
"A virtual item to reflect the discount total","Um item virtual para refletir o total de desconto"
"A virtual item to reflect the tax total","Um item virtual para refletir o total de imposto"
"AVS Status: %s","Estado AVS: %s"
"Add Shipping Method","Adicionar método de envio"
"Allowed Methods","Métodos permitidos"
"Amount: %s","Valor: %s"
"Auto-generated from GoogleCheckout Charge","Gerado automaticamente do GoogleCheckout charge"
"Buyer Account Age: %s days","Idade conta comprados: %s dias"
"CC Partial: xxxx-%s","CC parcial: xxx-%s"
"CID Status: %s","Estado CID: %s"
"Carrier Calculated Methods","Métodos calculados pelo transportador"
"Cart Discount","Desconto carrinho"
"Checkout Image Style","Estilo da imagem de finalização encomenda"
"Commercial","Comercial"
"Continue Shopping URL","URL de continuar a comprar"
"Credit memo has been created automatically","Nota de crédito foi criada automaticamente"
"Debug","Debug"
"Default Package Height (in)","Altura por omissão da embalagem (in)"
"Default Package Length (in)","Comprimento por omissão da embalagem (in)"
"Default Package Width (in)","Largura por omissão da embalagem (in)"
"Default Price for Methods","Preço por omissão para métodos"
"Default price:","Preço por omissão:"
"Delivery Address Category","Categoria de endereço de entrega"
"Delivery Schedule","Horário entrega"
"Description-based delivery","Descrição-base entrega"
"Disable Default Tax Tables","Desativar tabelas de imposto por omissão"
"Discount Tax","Desconto Imposto"
"Eligible for Protection: %s","Elegível para proteção: %s"
"Email delivery","Entrega Email"
"Enable","Ativo"
"Enable Carrier Calculated","Ativar cálculo efetuado pelo transportador"
"Enable Digital Delivery","Ativar entrega digital"
"Enable Flat Rate","Ativar taxa fixa"
"Enable Merchant Calculated","Ativar cálculo pelo comerciante"
"Enable this if your checkout request is too big and being cut off.","Ative se o seu processo de finalização é demasiado grande e está a ser recusado"
"Expiration: %s","Expiração: %s"
"Express Mail","Express Mail"
"Express Saver","Express Saver"
"FedEx","FedEx"
"Financial: %s -> %s","Financeiro: %s -> %s"
"First Overnight","Primera noche de estancia"
"Free Shipping","Envio gratuito"
"Fulfillment: %s -> %s","Cumprimento: %s -> %s"
"Google API","API Google"
"Google Authorization:","Autorização Google:"
"Google Buyer ID: %s","Google Buyer ID: %s"
"Google Charge:","Cobrança Google:"
"Google Chargeback:","Reembolso Google:"
"Google Checkout","Finalizar encomenda com o Google"
"Google Checkout Shipping - Carrier Calculated","Finalizar encomenda Google - Transporte"
"Google Checkout Shipping - Digital Delivery","Google Checkout shipping - Entrega digital"
"Google Checkout Shipping - Flat Rate","Envio finalização encomenda Google - Taxa fixa"
"Google Checkout Shipping - Merchant Calculated","Finalizar encomenda Google - Comerciante"
"Google Checkout: %s","Finalizar encomenda com o Google: %s"
"Google Order Number: %s","Número encomenda Google: %s"
"Google Order Status Change:","Alteração estado encomenda Google:"
"Google Refund:","Reembolso Google:"
"Google Risk Information:","Informação de riso Google:"
"GoogleCheckout is not configured","GoogleCheckout não está configurado"
"Ground","Transporte terrestre"
"Hide Cart Contents","Ocultar conteúdo do carrinho de compras"
"Home Delivery","Entrega casa"
"IP Address: %s","Endereço IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Se ativo, o conteúdo do carrinho de compras será ocultado depois de clicar no botão Google Checkout, e mostrado novamente se o link ""Editar Carrinho"" estiver ativo"
"Inches","Inches"
"Invoice Auto-Created: %s","Fatura criada automaticamente: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Está o cliente disponível para receber emails de marketing: %s"
"Key/URL delivery","Entrega chave/Url"
"Large - %s","Grande - %s"
"Latest Charge: %s","Última cobrança: %s"
"Latest Chargeback: %s","Últimas estornos: %s"
"Latest Refund: %s","Última reembolso: %s"
"Location","Localização"
"Media Mail","Media mail"
"Medium - %s","Médio - %s"
"Merchant ID","ID comerciante"
"Merchant Key","Chave comerciante"
"Method","Método"
"New Order Status","Novo estado encomenda"
"Next Day Air","No dia seguinte de avião"
"Next Day Air Early AM","No dia seguinte de avião no início da manhã"
"Next Day Air Saver","No dia seguinte voar com mais segurança"
"No","Não"
"No Comment","Sem comentários"
"No Reason","Sem motivo"
"Optimistic","Optimistic"
"Optional, leave empty for home page.","Opcional. Deixe em branco para a página principal."
"Order creation error","Erro ao criar encomenda"
"Parcel Post","Parcel post"
"Pessimistic","Pessimista"
"Priority Mail","Correio azul"
"Priority Overnight","Amanhã prioridade"
"Rate 1 Amount","Taxa 1 - Montante"
"Rate 1 Ship To Applicable Countries","Taxa 1 - Envio para países aplicáveis"
"Rate 1 Ship to Specific Countries","Taxa 1 - Envio para países específicos"
"Rate 1 Title","Taxa 1 - Título"
"Rate 2 Amount","Taxa 2 - Montante"
"Rate 2 Ship To Applicable Countries","Taxa 2 - Envio para países aplicáveis"
"Rate 2 Ship to Specific Countries","Taxa 2 - Envio para países específicos"
"Rate 2 Title","Taxa 2 - Título"
"Rate 3 Amount","Taxa 3 - Montante"
"Rate 3 Ship To Applicable Countries","Taxa 3 - Envio para países aplicáveis"
"Rate 3 Ship to Specific Countries","Taxa 3 - Envio para países específicos"
"Rate 3 Title","Taxa 3 - Título"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Necessário para transacções online Google Checkout. Certifique-se que esta opção corresponde a usar URL seguras na loja (""Web"">""Seguro"")."
"Residential","Residential"
"Sandbox","Local de testes"
"Secure Callback URL","URL segura para callback"
"Small - %s","Pequeno - %s"
"Standard Overnight","Na manhã seguinte, padrão"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","O montante de imposto foi aplicado com base na informação recebida do Google Checkout, porque o montante recebido do Google é diferente do montante calculado."
"Title","Título"
"Total Chargeback: %s","Total reembolso: %s"
"Total Charged: %s","Total cobrado: %s"
"Total Refunded: %s","Total reembolsado: %s"
"Transparent","Claro"
"UPS","UPS"
"USPS","USPS"
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Unknown Reason","Razão desconhecida"
"White Background","Fundo branco"
"Yes","Sim"
"You will be redirected to GoogleCheckout in a few seconds.","Será redirecionado para o GoogleCheckout dentro de poucos segundos."
