"%s Index process is working now. Please try run this process later.","O índice %s está ativo de momento. Por favor corra novamente o processo mais tarde."
"%s index was rebuilt.","O índice %s foi reconstruído."
"'%s' Index Process Information","Informação processo índice '%s'"
"Action","Ação"
"Cannot initialize the indexer process.","Não foi possível iniciar o processo de indexação"
"Change Index Mode","Alterar modo de indexação"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Clique aqui para ir para a <a href=""%s"">Gestão de Cache</a> e atualizar os tipos de cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Clique aqui para ir para a <a href=""%s"">Gestão de Índices</a> e reconstruir os índices necessários."
"Delete","Remover"
"Description","Descrição"
"Disable","Desativar"
"Enable","Ativo"
"General","Geral"
"Index","Índice"
"Index Description","Descrição índice"
"Index Management","Gestão índice"
"Index Mode","Modo índice"
"Index Name","Nome índice"
"Index mode","Modo indexação"
"Indexer code is not defined.","Código do indexante não definido."
"Indexer model is not defined.","Modelo do indexante não definido."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","O modelo do indexante deve fazer um extend a Mage_Index_Model_Indexer_Abstract."
"Manual Update","Atualização manual"
"Mode","Mode"
"Never","Nunca"
"No","Não"
"One or more of the Indexes are not up to date:","Um ou mais índices não estão atualizados:"
"Please select Index(es)","Por favor selecione o(s) índice(s)"
"Please select Indexes","Por favor selecione os índices"
"Process Information","Informação processo"
"Processing","Em processamento"
"Ready","Pronto"
"Refresh","Atualizar"
"Reindex Data","Reindexar dados"
"Reindex Required","Re-indexação necessária"
"Revoke","Revogar"
"Status","Estado"
"System","Sistema"
"The index has been saved.","O índice foi guardado."
"There was a problem with reindexing process.","Ocorreu um problema com o processo de reindexação"
"There was a problem with saving process.","Ocorreu um problema ao guardar."
"Total of %d index(es) have changed index mode.","Um total de %d índice(s) alteram o modo de indexação"
"Total of %d index(es) have reindexed data.","Um total de %s índice(s) com dados reindexados"
"Update Required","Atualização necessária"
"Update on Save","Atualizar ao guardar"
"Updated At","Atualizado a"
"Yes","Sim"
