" Copy","Copiar"
"Action","Ação"
"Add New Template","Adicionar novo template"
"Add to Queue","Adicionar à lista de espera"
"Allow Guest Subscription","Autorizar subscrição de convidados."
"An error occurred while saving your subscription.","Ocorreu um erro enquanto estava a guardar a sua subscrição."
"Are you sure that you want to delete this template?","Tem a certeza que deseja remover o template?"
"Are you sure that you want to strip all tags?","Tem a certeza que deseja remover todas as etiquetas?"
"Back","Voltar"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot mark as received subscriber.","Não é possível marcar como subscritor recebido."
"Confirmation Email Sender","Remetente do email de confirmação"
"Confirmation Email Template","Template confirmação email"
"Confirmation request has been sent.","Foi enviado um pedido de confirmação."
"Convert to Plain Text","Converter para texto"
"Create Newsletter Template","Criar template de newsletter"
"Customer","Cliente"
"Customer First Name","Primeiro nome do cliente"
"Customer Last Name","Último nome do cliente"
"Customer Middle Name","Meio nome do cliente"
"Customer My Account Newsletter Subscriptions","Subscrições de newsletter da minha conta de cliente"
"Date Added","Data adição"
"Date Updated","Data de atualização"
"Delete","Remover"
"Delete Selected Problems","Remover problemas selecionados"
"Delete Template","Remover template"
"Do you really want to cancel the queue?","Tem a certeza que deseja cancelar a lista de espera?"
"Duplicate template code.","Duplicar código de template"
"Edit Newsletter","Editar newsletter"
"Edit Newsletter Template","Editar template de newsletter"
"Edit Queue","Editar lista de espera"
"Edit Template","Editar template"
"Email","Email"
"Enter your email address","Insira o seu endereço de email"
"Error Code","Código de erro"
"Error Text","Mensagem erro"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Clique na seguinte ligação para cancelar a sua subscrição <!-- This tag is for unsubscribe link --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Convidado"
"ID","ID"
"Invalid queue selected.","Lista Inválida selecionada"
"Invalid subscription ID.","ID de subscrição inválido."
"Invalid subscription confirmation code.","Código de confirmação de subscrição inválido."
"Message","Mensagem"
"Need to Confirm","Necessita de confirmação"
"New Newsletter Template","Novo template de newsletter"
"New Template","Novo template"
"Newsletter","Newsletter"
"Newsletter Message Preview","Pré-visualização de mensagens na newsletter"
"Newsletter Problem Reports","Relatório de problemas"
"Newsletter Queue","Listagem"
"Newsletter Section","Secção de newsletter"
"Newsletter Sign-up:","Subscrever newsletter:"
"Newsletter Styles","Modelos newsletter"
"Newsletter Subscribers","Subscritores"
"Newsletter Subscription","Subscrição newsletter"
"Newsletter Subscription Form Before","Subscrição newsletter formulário"
"Newsletter Subscriptions","Newsletter"
"Newsletter Templates","Modelos"
"Newsletter subscription confirmation","Confirmação subscrição de newsletter"
"Newsletter subscription success","Sucesso subscrição de newsletter"
"Newsletter unsubscription success","Sucesso cancelamento subscrição newsletter"
"No Templates Found","Não foram encontrados templates"
"No problems found.","Não foram encontrados problemas."
"No subscribers selected.","Não foram selecionados subscritores."
"Not Activated","Inativo"
"Not Sent","Não enviado"
"Pause","Pausa"
"Paused","Pausado"
"Please enter a valid email address.","Por favor indique um endereço de email válido."
"Please enter new template name","Por favor insira um novo nome do template"
"Please refer to exeption.log","Por favor verifique o ficheiro exception.log"
"Please select subscriber(s)","Por favor selecione os subscritores"
"Preview","Pré-visualizar"
"Preview Template","Pré-visualizar template"
"Processed","Processado"
"Queue Date Start","Data início da lista de espera"
"Queue Finish","Lista de Espera Terminada A"
"Queue Information","Informação da lista"
"Queue Newsletter...","Colocar newsletter em fila..."
"Queue Start","Início Lista de espera"
"Queue Subject","Assunto lista espera"
"Recipients","Destinatários"
"Reset","Repor Valores"
"Resume","Continuar"
"Return HTML Version","Versão HTML mostrar"
"Save As","Guardar Como"
"Save Newsletter","Guardar newsletter"
"Save Template","Guardar template"
"Save and Resume","Guardar e continuar"
"Selected problem subscribers have been unsubscribed.","Subscritores selecionados com problemas foram cancelados."
"Selected problems have been deleted.","Problemas selecionados forma removidos."
"Sender","Remetente"
"Sender Email","Email do remetente"
"Sender Name","Nome remetente"
"Sending","A Enviar"
"Sent","Enviado"
"Sign Up for Our Newsletter:","Subscreva a nossa newsletter"
"Sign up for our newsletter","Subscreva a nossa newsletter"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Lamentamos, mas a subscrição para convidados foi desativada. Por favor, <a href=""%s"">registe-se</a>."
"Start","Iniciar"
"Status","Estado"
"Store","Loja"
"Store View","Vista de loja"
"Subject","Assunto"
"Submit","Submeter"
"Subscribe","Subscrever"
"Subscribed","Inscrito"
"Subscriber","Subscritor"
"Subscribers","Subscritores"
"Subscribers From","Subscritores de"
"Subscription Options","Opções de subscrição"
"Success Email Sender","Remetente email sucesso"
"Success Email Template","Template email sucesso"
"Template Content","Conteúdo do template"
"Template Information","Informação do template"
"Template Name","Nome do Ttemplate"
"Template Styles","Estilos de template"
"Template Subject","Assunto template"
"Template Type","Tipo de template"
"Thank you for your subscription.","Obrigado pela sua subscrição."
"The subscription has been removed.","A sua subscrição foi removida."
"The subscription has been saved.","A sua subscrição foi guardada."
"There was a problem with the subscription.","Existe um problema com a sua subscrição."
"There was a problem with the subscription: %s","Existe um problema com a subscrição: %s"
"There was a problem with the un-subscription.","Ocorreu um problema com o cancelamento de subscrição."
"This email address is already assigned to another user.","Este endereço de email já está a ser utilizado por outro utilizador."
"Type","Tipo"
"Unconfirmed","Não confirmado"
"Unsubscribe","Cancelar Subscrição"
"Unsubscribe Selected","Cancelar subscrição de selecionado"
"Unsubscribed","Não inscrito"
"Unsubscription Email Sender","Remetente do email de cancelamento de inscrição"
"Unsubscription Email Template","Template do email de cancelamento de inscrição"
"View Newsletter","Ver newsletter"
"Website","Site"
"You have been unsubscribed.","Deixou de estar subscrito."
"Your subscription has been confirmed.","A sua subscrição foi confirmada."
