"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' é demasiado longo. Tem que ter um cumprimento de %min% símbolos."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' é demasiado curto. Tem que ter um cumprimento de %min% símbolos."
"* Required Fields","* Campos obrigatórios"
"<strong>%s</strong> requests access to your account","<strong>%s</strong>: pede acesso à sua conta"
"Admin","Admin"
"After authorization application will have access to you account.","Após a autorização, a aplicação terá acesso à sua conta."
"An error occurred on confirm authorize.","Ocorreu um erro ao confirmar autorização."
"An error occurred on delete action.","Ocorreu um erro na operação de remover."
"An error occurred on delete application.","Ocorreu um erro ao remover aplicação."
"An error occurred on reject authorize.","Ocorreu um erro ao rejeitar autorização."
"An error occurred on saving consumer data.","Ocorreu um erro ao guardar dados cliente."
"An error occurred on update revoke status.","Ocorreu um erro ao atualizar a revogação de permissão."
"An error occurred while deleting the consumer.","Ocorreu um erro ao remover o cliente."
"An error occurred.","Ocorreu um erro."
"An error occurred. Your authorization request is invalid.","Ocorreu um erro. O seu pedido de autorização é inválido."
"App Name","Nome Aplicação"
"Application ""%s"" has been deleted.","A Aplicação ""%s"" foi removida."
"Application ""%s"" has been enabled.","A Aplicação ""%s"" foi ativada."
"Application ""%s"" has been revoked.","A Aplicação ""%s""  foi revogada."
"Application Name","Nome Aplicação"
"Application not found.","Aplicação não encontrada."
"Are you sure you want to delete this application?","Tem a certeza que deseja remover esta aplicação?"
"Are you sure you want to disable this application?","Tem a certeza que deseja desativar esta aplicação?"
"Are you sure you want to enable this application?","Tem a certeza que deseja ativar esta aplicação?"
"Authorization confirmed","Autorização Confirmada"
"Authorization confirmed.","Autorização Confirmada."
"Authorize","Autorização"
"Authorize application","Autorizar Aplicação"
"Authorized Tokens","Tokens Autorizados"
"Callback URL","URL callback"
"Cleanup Probability","Probabilidade Limpeza"
"Cleanup Settings","Opções Limpeza"
"Close","Fechar"
"Confirm OAuth token authorization","Confirme o token de autorização OAuth"
"Confirm token authorization Pop Up for admin","Janela pop-up de confirmação token autorização para admin"
"Confirm token authorization for admin","Confirme o token de autorização para admin"
"Confirmation Of Authorization","Confirmação De Autorização"
"Consumer Information","Informação Consumidor"
"Consumer Name","Nome Consumidor"
"Consumers","Consumidores"
"Created At","Criado A"
"Current Admin Password","Palavra-passe Atual Administrador"
"Customer","Cliente"
"Customer My Account My OAuth Applications","Cliente A Minha Conta As Minhas Aplicações OAuth"
"Delete","Remover"
"Disable","Desativar"
"Disabled","Inativo"
"Edit","Editar"
"Edit Consumer","Editar Consumidor"
"Email","Email"
"Email Address","Endereço Email"
"Enable","Ativo"
"Enabled","Ativo"
"Entry with ID #%s not found.","Registo com o ID #%s não encontrado."
"Expiration Period","Período de Expiração"
"Give the verifier code to application administrator","Dar o código de verificação ao administrador da aplicação"
"ID","ID"
"Invalid Callback URL","URL Callback inválido"
"Invalid ID parameter.","ID de Parâmetro inválido"
"Invalid Rejected Callback URL","URL Callback Rejeição Inválida"
"Invalid entry ID.","ID de registo inválido"
"Invalid revoke status.","Estado de revogação inválido."
"Key","Chave"
"Log In","Iniciar Sessão"
"Log in as a customer","Iniciar Sessão como cliente"
"Log in as admin","Iniciar Sessão como administrador"
"Log in as customer","Iniciar Sessão como cliente"
"Log in to use <strong>%s</strong>","Inicie sessão para utilizar <strong>%s</strong>"
"Login","Iniciar Sessão"
"My Applications","As Minhas Aplicações"
"Name","Nome"
"New Consumer","Novo Consumidor"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Administrar as Minhas Aplicações"
"OAuth Authorized Tokens","OAtuh Tokens Autorizados"
"OAuth Consumers","OAtuh Consumidores"
"OAuth authorization Pop Up for customer","OAuth janela pop-up de autorização para cliente"
"OAuth authorization for admin","OAuth autorização para admin"
"OAuth authorization for customer","OAuth autorização para cliente"
"OAuth authorization simple for admin","OAuth autorização simples para admin"
"Password","Palavra-passe"
"Permissions","Permissões"
"Please login to proceed authorization.","Por favor inicie sessão para prosseguir com autorização."
"Please select needed row(s).","Por favor selecione a(s) linha(s) necessária(s)"
"Please select revoke status.","Por favor selecione o estado de revogação."
"REST - My Apps","REST - As Minhas Aplicações"
"REST - OAuth Authorized Tokens","REST - OAuth Tokens Autorizados"
"REST - OAuth Consumers","REST - OAuth Consumidores"
"Reject","Rejeitar"
"Reject OAuth token authorization","Rejeitar token OAuth de autorização"
"Reject authorization","Rejeitar Autorização"
"Reject token authorization Pop Up for admin","Rejeitar token OAuth pop-up de autorização para admin"
"Reject token authorization for admin","Rejeitar token OAuth de autorização para admin"
"Rejected Callback URL","URL Callback rejeitada"
"Rejection Of Authorization","Rejeição de Autorização"
"Revoked","Revogado"
"Role Name","Nome Acesso"
"Save","Guardar"
"Save and Continue Edit","Guardar e Continuar Edição"
"Secret","Segredo"
"Selected entries enabled.","Registos selecionados ativos."
"Selected entries has been deleted.","Os registos selecionados foram removidos."
"Selected entries revoked.","Selecionados registos revogados"
"Status","Estado"
"System","Sistema"
"The application access request is rejected.","O pedido de acesso da aplicação está rejeitado."
"The consumer has been deleted.","O consumidor foi removido."
"The consumer has been saved.","O consumidor foi guardado."
"Token Status Change","Alteração Estado Token"
"Token Status Change Email Template","Token Estado Alterar Template Email"
"Unable to find a consumer.","Não foi possível encontrar o consumidor"
"User ID","User ID"
"User Name","Nome de Utilizador"
"User Type","User Type"
"Verifier code: %s","Código verificador: %s"
"You have no applications.","Não tem aplicações."
"deleted","removido"
"enabled","ativo"
"revoked","revogado"
