"%s Item(s)","%s item(ns)"
"%s-%s of %s","%s-%s de %s"
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; 2012 Magento Loja Demonstração Todos os direitos reservados."
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magento Loja Demonstração Todos os direitos reservados."
"&copy; 2014 Magento Demo Store. All Rights Reserved.","&copy; 2014 Magento Loja Demonstração Todos os direitos reservados."
"&copy; 2015 Magento Demo Store. All Rights Reserved.","&copy; 2015 Magento Loja Demonstração Todos os direitos reservados."
"&copy; 2016 Magento Demo Store. All Rights Reserved.","&copy; 2016 Magento Loja Demonstração Todos os direitos reservados."
"&copy; 2017 Magento Demo Store. All Rights Reserved.","&copy; 2017 Magento Loja Demonstração Todos os direitos reservados."
"&copy; 2018 Magento Demo Store. All Rights Reserved.","&copy; 2018 Magento Loja Demonstração Todos os direitos reservados."
"&copy; 2019 Magento Demo Store. All Rights Reserved.","&copy; 2019 Magento Loja Demonstração Todos os direitos reservados."
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(ver. %s)","(versão %s)"
"- Click on any of the time parts to increase it","- Clique sobre algumas das partes do tempo para aumentá-lo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenha qualquer um dos botões do rato premido para uma seleção mais rápida"
"- Use the %s buttons to select month","- Utilize os botões %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Utilize o botões %s, %s para selecionar o ano"
"- or Shift-click to decrease it","- ou Shift-clique para diminuí-lo"
"- or click and drag for faster selection.","- ou clique e arraste para uma seleção mais rápida"
"-- Please Select --","-- Por favor, selecione --"
"1 column","1 Coluna"
"2 columns with left bar","2 Colunas com barra vertical esquerda"
"2 columns with right bar","2 Colunas com barra vertical direita"
"3 columns","3 Colunas"
"About the calendar","Acerca do calendário"
"Account","Conta"
"All Empty Layout Pages","Todas as páginas de apresentação vazias"
"All One-Column Layout Pages","Todas as páginas com apresentação de uma colunas"
"All Pages","Todas as páginas"
"All Pages (Print Version)","Todas as páginas (versão impressão)"
"All Three-Column Layout Pages","Todas as páginas com apresentação de três colunas"
"All Two-Column Layout Pages (Left Column)","Todas as páginas com apresentação de duas colunas (coluna esquerda)"
"All Two-Column Layout Pages (Right Column)","Todas as páginas com apresentação de duas colunas (coluna direita)"
"Allow","Permitir"
"Breadcrumbs","Menu de localização"
"Click <a href=""%s"">here</a> if nothing has happened","Clique <a href=""%s"">aqui</a> se não aconteceu nada"
"Close","Fechar"
"Close Window","Fechar janela"
"DHTML Date/Time Selector","Seleção da data/hora DHTML"
"Date selection:","Seleção data:"
"Default Description","Descrição por omissão"
"Default welcome msg!","Mensagem de boas-vindas por omissão"
"Display %s first","Mostrar primeiro %s"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob a licença GNU LGPL. Ver %s para detalhes."
"Drag to move","Arraste para mover"
"Empty","Vazio"
"For latest version visit: %s","Para a última versão visite: %s"
"Free Shipping on orders over 50$","Oferta de portes em encomendas superiores a 50?"
"Go Today","Ir para hoje"
"Help Us to Keep Magento Healthy","Ajude-nos a melhorar o Magento"
"Interface Language","Língua do sistema"
"Items %s to %s of %s total","Itens %s a %s num total de %s"
"JavaScript seems to be disabled in your browser.","O uso de Javascript parece estar inativo no seu navegador."
"Left Column","Coluna esquerda"
"Left Column First (shows above main column on smaller screens)","Coluna esquerda primeiro (é mostrada acima da coluna principal em ecrãs pequenos)"
"Main Content Area","Área de conteúdo principal"
"Menu","Menu"
"Navigation Bar","Barra de navegação"
"Next","Seguinte"
"Next month (hold for menu)","Mês seguinte (aguarde para menu)"
"Next year (hold for menu)","Ano seguinte (aguarde para menu)"
"Page Bottom","Rodapé página"
"Page Footer","Rodapé página"
"Page Header","Cabeçalho página"
"Page Top","Topo página"
"Page:","Página:"
"Prev. month (hold for menu)","Mês ant. (aguarde para menu)"
"Prev. year (hold for menu)","Ano ant. (aguarde para menu)"
"Previous","Anterior"
"Redirecting...","A redirecionar..."
"Report All Bugs","Reportar todos os erros"
"Results per page","Resultados por página"
"Right Column","Coluna direita"
"Search","Pesquisa"
"Select Store","Selecione loja"
"Select Store:","Selecione loja:"
"Select date","Selecione data"
"Show","Mostrar"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é uma loja de demonstração. Qualquer encomenda realizada não será tida em consideração."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Este site requer cookies para fornecer todos os seus recursos. Para mais informações sobre quais as informações contidas nos cookies, por favor visite nosso <a href=""%s"">Política de Privacidade</a>. Para aceitar cookies a partir desta página, clique abaixo no botão Permitir."
"Time selection:","Seleção hora:"
"Time:","Hora:"
"View All","Ver todos"
"Welcome, %s!","Bem-vindo, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Precisa de ter o JavaScript ativo no seu browser para utilizar a funcionalidade deste site."
"Your Language","A sua língua"
"Your Language:","A sua língua:"
"per page","por página"
