"An error occurred while clearing the external full page cache.","Ocorreu um erro ao limpar o cache externo de página completa"
"Cookie Lifetime (seconds)","Tempo de vida do cookie (segundos)"
"Enable External Cache","Ativar cache externo"
"External Cache Control","Controlo de cache externo"
"External Full Page Cache Settings","Definições de cache externo de página completa"
"External Page Cache","Cache externo de página"
"External full page cache.","Cache externo de página completa."
"Failed to load external cache control","Falha ao carregar controlo de cache externo"
"Flush External Page Cache","Esvaziar cache externo de página completa"
"If empty, default value will be used.","Se vazio, será utilizador o valor por omissão."
"The external full page cache has been cleaned.","O cache externo de página completa foi limpo."
"Zend Full Page Cache","Cache de página completa Zend"
