"%s %s cycle.","Ciclo %s %s."
"* Required Fields","* Campos obrigatórios"
"--Please Select--","--Por favor, selecione--"
"3D Secure Card Validation","Validação cartão 3D Secure"
"3D Secure Credit Card Validation","Validação de cartão de crédito 3D Secure"
"<label>Make Check payable to:</label> %s","<label>Cheque à ordem de:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","É necessário um valor para o modo ativo. Por favor, verifique o seu contracto com CardinalCommerce"
"Allow Initial Fee Failure","Permitir falha primeiro taxa"
"An internal reference ID is required to save the payment profile.","Um ID interno de referência é necessário para guardar o perfil de pagamento."
"Authorize action is not available.","A ação de autorização não está disponível."
"Auto Bill on Next Cycle","Faturar Automaticamente no próximo ciclo"
"Automatically Invoice All Items","Faturar automaticamente todos os itens"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Saldar automaticamente a dívida no próximo ciclo de faturação (se existirem pagamentos falhados)"
"Bank Transfer Payment","Pagamento transferência bancária"
"Billing Agreement status is not set.","Estado do acordo de faturação não definido"
"Billing Amount","Montante a faturar"
"Billing Frequency","Frequência a faturar"
"Billing Period","Período de faturação"
"Billing Period Unit","Unidades de período de faturação"
"Billing period unit is not defined or wrong.","Período de faturação não definido ou inválido."
"Cannot retrieve the payment info model object.","Não foi possível obter o objeto do modelo de informação de pagamento."
"Cannot retrieve the payment information object instance.","Não foi possível obter a instância do objeto de informação de pagamento"
"Cannot retrieve the payment method code.","Não foi possível obter o código do método de pagamento."
"Cannot retrieve the payment method model object.","Não foi possível obter o objeto do modelo do método de pagamento."
"Capture action is not available.","Operação de captura não disponível."
"Card Verification Number","Número Verificação cartão crédito"
"Cash On Delivery Payment","Pagamento em dinheiro na entrega"
"Centinel API URL","URL API Centinel"
"Check / Money Order","Encomenda cheque / dicheiro"
"Credit Card Number","Número cartão crédito"
"Credit Card Number: xxxx-%s","Número cartão crédito: xxxx-%s"
"Credit Card Type","Tipo cartão crédito"
"Credit Card Type: %s","Tipo cartão crédito: %s"
"Credit Card Types","Tipos cartão crédito"
"Credit card number mismatch with credit card type.","O número de cartão de crédito não coincide com o tipo de cartão."
"Credit card type is not allowed for this payment method.","O tipo de cartão de crédito não é permitido neste método de pagamento."
"Currency","Moeda"
"Currency code is undefined.","Código de moeda indefinido"
"Customer ID is not set.","ID cliente não definido"
"Day","Dia"
"Debug Mode","Modo de depuração"
"Enabled","Ativo"
"Expiration Date","Data expiração"
"Expiration Date: %s/%s","Data expiração: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nome completo da pessoa que irá receber o produto ou serviço pago pela subscrição."
"Incorrect credit card expiration date.","Data de expiração do cartão de crédito incorreta"
"Initial Fee","Taxa inicial"
"Initial non-recurring payment amount due immediately upon profile creation.","montante do pagamento inicial não-recorrente em dívida imediatamente após a criação da subscrição."
"Instructions","Instruções"
"Internal Reference ID","ID referência interna"
"Invalid Credit Card Number","Número de cartão de crédito inválido"
"Issue Number","Número edição"
"Make Check Payable to","Cheque à ordem de"
"Make Check payable to:","Passe cheque à ordem de:"
"Make Check payable to: %s","Passar cheque à ordem de: %s"
"Maximum Billing Cycles","Número máximo de ciclos de faturação"
"Maximum Order Total","Total máximo encomenda"
"Maximum Payment Failures","Número máximo de falhas de pagamento"
"Maximum Trial Billing Cycles","Número máximo de ciclos de faturação de testes"
"Merchant ID","ID comerciante"
"Minimum Order Total","Mínimo total encomenda"
"Month","Mês"
"N/A","N/D"
"Name on Card","Nome no cartão"
"Name on the Card","Nome no cartão"
"Name on the Card: %s","Nome no cartão: %s"
"New Order Status","Novo estado encomenda"
"Number of billing periods that make up one billing cycle.","Número de períodos de faturação para perfazer um ciclo de faturação"
"Order action is not available.","Operação de Compra não está disponível."
"Overrides API URL that may be specified by a payment method.","Rescreve URL da API que possa ter sido definida por um método de pagamento."
"Password","Palavra-passe"
"Payment ID: %s","ID pagamento: %s"
"Payment Method","Método de pagamento"
"Payment Methods","Métodos de pagamento"
"Payment Methods Section","Secção de métodos de pagamento"
"Payment Reference ID","ID referência de pagamento"
"Payment Services","Serviços de pagamento"
"Payment from Applicable Countries","Pagamento de países aplicáveis"
"Payment from Specific Countries","Pagamento de países específicos"
"Payment method code is not set.","O código do pagamento não está definido."
"Payment method code is undefined.","O código do pagamento não está definido."
