"Abandoned Carts","Carrinhos Abandonados"
"Abandoned carts","Carrinhos Abandonados"
"Action","Ação"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Wishlist","Adicionar aos Favoritos"
"Any","Qualquer"
"Applied Coupon","Cupão Aplicado"
"Applies to Any of the Specified Order Statuses","Aplica-se a Qualquer uma dos Estados Especificados de Encomenda"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Tem a certeza que deseja atualizar o acumulado de estatísticas? A performance do site pode sofrer um impacto negativo durante esta operação."
"Are you sure?","Tem a certeza?"
"Avg. Approved Rating","Média Análises Aprovadas"
"Avg. Rating","Média Análises"
"Bestsellers","Mais vendidos"
"Bought from wishlists","Comprada de Listas de Desejos"
"CSV","CSV"
"Carts","Carrinhos"
"Catalog Category (Without Subcategories)","Catálogo Categoria (Sem Subcategorias)"
"Compared Products Grid Template","Modelo de Grelha de Produtos Comparados"
"Compared Products List Template","Modelo de Lista de Comparação de Produtos."
"Coupons","Cupões"
"Coupons Usage Report","Relatório de Utilização dos Cupões"
"Created At","Criado Em"
"Current Month Starts","Início Mês Atual"
"Customer","Cliente"
"Customer Name","Nome do Cliente"
"Customer Tags","Etiquetas do Cliente"
"Customers","Clientes"
"Customers Report","Relatório de Clientes"
"Customers Reviews","Análises dos clientes"
"Customers Tags","Etiquetas dos clientes"
"Customers by Number of Orders","Clientes pelo Número de Encomendas"
"Customers by Orders Total","Clientes Pelo Valor Encomendas"
"Customers by number of orders","Clientes pelo Número de Encomendas"
"Customers by orders total","Clientes Pelo Valor Encomendas"
"Customers that have wishlist: %s%","Clientes com Favoritos: %s%"
"Dashboard","Sumário"
"Day","Dia"
"Default Recently Compared Products Count","Número de Produtos Recentemente Comparados por Omissão"
"Default Recently Viewed Products Count","Número de Produtos Recentemente Visualizados por Omissão"
"Description","Descrição"
"Detail","Detalhe"
"Downloads","Descargas"
"Email","Email"
"Empty Rows","Linhas Vazias"
"Excel XML","Excel XML"
"Filter","Filtro"
"First Name","Primeiro Nome"
"From","De"
"Guest","Convidado"
"Hits","Acessos"
"ID","ID"
"IP Address","Endereço IP"
"Index model name must be defined","O nome do modelo do Index tem que ser especificado"
"Invalid date specified.","Data especificada inválida"
"Invoiced","Faturado"
"Items in Cart","Itens no carrinho"
"Last Name","Apelido"
"Last Review","Última análise"
"Link","Ligação"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista de Produtos Recentemente Comparados e Removidos da Lista de Comparações pelo Visitante"
"List of Products Recently Viewed by Visitor","Lista de Produtos Recentemente Vista pelo Visitante"
"Low Stock","Disponibilidade baixa"
"Low stock","Disponibilidade baixa"
"Match Period To","Corresponder Período A"
"Month","Mês"
"Most Viewed","Mais Vistos"
"Name","Nome"
"New Accounts","Novas Contas"
"No","Não"
"Number Added","Número adicionado"
"Number Fulfilled","Número preenchido"
"Number Of Reviews","Número de Análises"
"Number Purchased","Quantidade comprada"
"Number Viewed","Número Visto"
"Number of Items","Número de Itens"
"Number of New Accounts","Número de Novas Contas"
"Number of Products to display","Número de Produtos a Mostrar"
"Number of Reviews","Número de Análises"
"Number of Times Deleted","Número de Vezes Removido"
"Number of Total Tags","Número Total de Etiquetas"
"Number of Unique Tags","Número de Etiquetas Únicas"
"Number of Views","Número de Visualizações"
"Number of items bought from a wishlist: %s","Número de itens comprados dos Favoritos: %s"
"Number of times wishlists have been shared (emailed): %s","Número de vezes que a Lista de Presente foi partilhada (envio por email): %s"
"Number of wishlist conversions: %s","Número de conversões de Favoritos: %s"
"Number of wishlist referrals: %s","Número de referências de Favoritos: %s"
"Number of wishlists: %s","Número de listas de Favoritos: %s"
"Order Status","Estado da Encomenda"
"Order Taxes Report Grouped by Tax Rate","Relatório de Imposto de Encomendas Agrupado por Taxa de Imposto"
"Orders","Encomendas"
"Out of stock","Indisponível"
"Period","Período"
"Poducts Report","Relatório de Produtos"
"Popular Tags","Etiquetas populares"
"Popularity","Popularidade"
"Price","Preço"
"Product Name","Nome Produto"
"Product Reviews","Análises ao Produto"
"Product SKU","SKU do produto"
"Product Tags","Etiquetas de Produtos"
"Products","Produtos"
"Products Ordered","Produtos Encomendados"
"Products Report","Relatório de Produtos"
"Products Reviews","Análises de Produtos"
"Products Tags","Etiquetas de Produtos"
"Products in carts","Produtos em Carrinhos"
"Purchases","Compras"
"Quantity Ordered","Quantidade Encomendada"
"Quantity of Items","Quantidade de itens"
"Recently Compared","Recentemente Comparados"
"Recently Compared Products","Produtos recentemente comparados"
"Recently Viewed","Recentemente visitado"
"Recently Viewed Products","Visualizado Recentemente"
"Recently Viewed/Compared Products","Produtos recentemente vistos/comparados"
"Refresh Lifetime Statistics","Atualizar Estatísticas Acumuladas"
"Refresh Statistics","Atualizar Estatísticas"
"Refresh Statistics for the Last Day","Atualizar Estatísticas para o Último Dia"
"Refunds","Reembolsos"
"Report","Relatório"
"Reports","Relatórios"
"Results","Resultados"
"Revenue","Receita"
"Review","Análise"
"Reviews","Análises"
"Reviews for %s","Análises para %s"
"Sales","Vendas"
"Sales Report","Relatório de Vendas"
"Search Query","Texto a pesquisar"
"Search Terms","Termos de Pesquisa "
"Select day of the month.","Selecione o dia do mês."
"Shipping","Envio"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart Price Rule","Desconto no carrinho de compras"
"Show Actual Values","Mostrar Valores Reais."
"Show Report","Mostrar Relatório"
"Show for Current","Mostrar para atual"
"Specified","Especificado"
"Statistics","Estatísticas"
"Stock Qty","Quantidade disponível"
"Submitted In","Enviado em"
"Submitted On","Submetido Em"
"Subtotal","Subtotal"
"Tag","Etiqueta"
"Tag ""%s"" details","Detalhes da etiqueta ""%s"""
"Tag Detail","Detalhes da Etiqueta"
"Tag Name","Nome da etiqueta"
"Tag Use","Utilização Etiquetas"
"Tags Submitted by %s","Etiqueta Submetida por %s"
"Tags submitted to %s","Etiquetas submetidas para %s"
"Tax","Imposto"
"Title","Título"
"To","Até"
"Total","Total"
"Total Invoiced vs. Paid Report","Total Faturado vs. Relatório Pagamento"
"Total Ordered Report","Relatório Total Encomendado"
"Total Refunded Report","Relatório Total Reembolsado"
"Total Shipped Report","Relatório do Total Enviado"
"Total Tags","Total de Etiquetas"
"Total invoiced","Total Faturado"
"Total refunded","Total Reembolso"
"Updated At","Atualizado A"
"Viewed Products Grid Template","Modelo de Grelha de produtos visualizados"
"Viewed Products List Template","Modelo de Listagem de produtos visualizados"
"Visible In","Visível Em"
"Wishlist Report","Relatório de Favoritos"
"Wishlist vs. Regular Order","Favoritos Vs Encomenda Regular"
"Wishlists","Favoritos"
"Year","Ano"
"Year-To-Date Starts","Início Ano até à data atual"
"Yes","Sim"
"Your Recently Compared","As suas Recentes Comparações"
"Your Recently Viewed","As suas Recentes Visualizações"
"undefined","Indefinido"
