"%d Review(s)","%s análises"
"%s Review(s)","%s análises"
"(Posted on %s)","(Colocado em %s)"
"1 star","1 estrela"
"2 star","2 estrelas"
"2 stars","2 estrelas"
"3 star","3 estrelas"
"3 stars","3 estrelas"
"4 star","4 estrelas"
"4 stars","4 estrelas"
"5 star","5 estrelas"
"5 stars","5 estrelas"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Adicionar nova análise"
"Add Your Review","Adicionar a sua análise"
"Administrator","Administrador"
"All Reviews","Todas as análises"
"All Reviews of Customer `%s`","Todas as análises do cliente %s"
"All Reviews of Product `%s`","Todas as análises ao produto '%s'"
"Allow Guests to Write Reviews","Permitir que convidados efetuem análises"
"Approved","Aprovado"
"Are you sure you want to do this?","Tem a certeza que é o que deseja fazer?"
"Are you sure?","Tem a certeza?"
"Average Customer Rating","Média de classificação dos clientes"
"Average Customer Rating:","Média de classificação dos clientes:"
"Back","Voltar"
"Back to Main Product Info","Voltar à página do produto"
"Back to My Reviews","Voltar às minhas análises"
"Back to Product Reviews","Voltar às análises ao produto"
"Be the first to review this product","Seja o primeiro a analisar este produto"
"Catalog Product Review View","Catálogo produto análise visualizar"
"Catalog Product Reviews List","Catálogo produto análises lista"
"Created On","Criado em"
"Customer","Cliente"
"Customer My Account Product Reviews","Cliente a minha conta produto análises"
"Customer My Account Review Details","Cliente a minha conta produto detalhe análise"
"Customer Reviews","Análises de clientes"
"Customers Reviews","Análises dos clientes"
"Delete","Remover"
"Delete Review","Remover análise"
"Detailed Rating","Classificação detalhada"
"Edit Review '%s'","Editar análise '%s'"
"Guest","Convidado"
"How do you rate this product?","Como classifica este produto?"
"ID","ID"
"Let us know your thoughts","Deixe-nos a sua opinião"
"Manage Ratings","Gerir classificações"
"My Product Reviews","As minhas análises a produtos"
"My Recent Reviews","As minhas análises recentes"
"Name","Nome"
"Name in Store","Nome na loja"
"New Review","Nova análise"
"Nickname","Nome de utilizador"
"Nickname can\'t be empty","Nome de utilizador não pode estar vazio"
"Not Approved","Não Aprovado"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Apenas utilizadores registados podem criar análises. Por favor, <a href=""%s"">inicie sessão</a> ou <a href=""%s"">registe-se</a>"
"Pending","Pendente"
"Pending Reviews","Análises pendentes"
"Pending Reviews of Customer `%s`","Análises pendentes do cliente %s"
"Please select a product","Por favor selecione o produto"
"Please select one of each of the ratings above","Por favor selecione uma das classificações acima"
"Posted By","Colocado por"
"Price","Preço"
"Product","Produto"
"Product Name","Nome produto"
"Product Rating","Classificação do produto"
"Product Rating:","Classificação do produto:"
"Product Review (submitted on %s):","Análise ao produto (submetida a %s)"
"Product Reviews","Análises ao produto"
"Product SKU","SKU do produto"
"Products Reviews","Análises de produtos"
"Qty","Qt"
"Rating:","Classificação:"
"Review","Análise"
"Review (submitted on %s):","Análise (submetida a %s):"
"Review Details","Analisar detalhes"
"Review Form Fields Before","Análise formulário campos"
"Review by %s","Análise por %s"
"Review by <span>%s</span>","Analisado por <span>%s</span>"
"Review can\'t be empty","A Análise não pode estar vazia"
"Review summary can\'t be empty","O sumário não pode estar vazi"
"Reviews","Análises"
"Reviews and Ratings","Análises e classificações"
"SKU","SKU"
"Save Review","Guardar análise"
"Status","Estado"
"Submit Review","Submeter análise"
"Summary Rating","Sumário da avaliação"
"Summary of Review","Sumário da análise"
"Summary of Your Review","Título da sua análise"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","Não foi possível colocar a análise."
"Update Status","Atualizar estado"
"View All Reviews","Ver todas as análises"
"View Details","Ver detalhes"
"Visible In","Visível em"
"Websites","Sites"
"What's your nickname?","A sua alcunha?"
"Write Your Own Review","Escreva a sua análise"
"You have submitted no reviews.","Ainda não enviou nenhuma análise"
"You're reviewing:","A sua análise:"
"Your Rating:","A sua classificação:"
"Your Review (submitted on %s):","A sua análises (enviada a %s):"
"Your review has been accepted for moderation.","A sua análise foi aceite."
