"""%s"" coupon code is not valid.","""%s"" o código do cupão não é válido"
"%s","%s"
"%s / %s rate:","Taxa %s / %s:"
"%s for %s","%s por %s"
"%s order(s) cannot be canceled","%s encomenda(s) não podem ser canceladas."
"%s order(s) have been canceled.","%s encomenda(s) cancelada(s)."
"%s order(s) have been put on hold.","%s encomenda(s) foram bloqueadas."
"%s order(s) have been released from holding status.","%s encomenda(s) foram desbloqueadas."
"%s order(s) were not put on hold.","%s encomenda(s) não foram bloqueadas."
"%s order(s) were not released from holding status.","%s encomenda(s) não foram desbloqueadas."
"* - Enter custom price excluding tax","* - Insira preços personalizado excluindo imposto"
"* - Enter custom price including tax","* - Insira preços personalizado incluindo imposto"
"* Required Fields","* Campos obrigatórios"
"-- Please Select --","-- Por favor, selecione --"
"-- Please Select Billing Agreement--","-- Por favor, selecione um acordo de faturação --"
"About This Order:","Sobre esta encomenda:"
"About This Profile:","Acerca do perfil:"
"About Your Invoice","Sobre a sua fatura"
"About Your Order","Sobre a sua encomenda"
"About Your Refund","Sobre o seu reembolso"
"About Your Shipment","Sobre o seu envio"
"Accept Payment","Pagamento aceite."
"Accept or Deny Payment","Aceitar ou negar pagamento"
"Account Information","Informação da conta"
"Action","Ação"
"Actions","Ações"
"Activate","Ativar"
"Active","Ativo"
"Add","Adicionar"
"Add New Address","Adicionar novo endereço"
"Add Order Comments","Adicionar comentários encomenda"
"Add Package","Adicionar pacote"
"Add Products","Adicionar produtos"
"Add Selected Product(s) to Option","Adicionar produto(s) selecionado(s) à opção"
"Add Selected Product(s) to Order","Adicionar produto(s) selecionado(s) à encomenda"
"Add Selected Product(s) to Package","Adicionar produto(s) selecionado(s) ao pacote"
"Add To Order","Adicionar à encomenda"
"Add Tracking Number","Adicionar número de monitorização"
"Add comment to order","Adicionar comentário à encomenda"
"Add new comment to credit memo","Adicionar nova nota à nota de crédito"
"Add new comment to shipment","Adicionar novo comentário ao envio"
"Add new tracking number","Adicionar novo número de monitorização"
"Add to Cart","Adicionar ao carrinho"
"Additional Product Info","Informação adicional produto"
"Address","Endereço"
"Address model is not defined.","O model do endereço não está definido."
"Adjustment Fee","Montante ajustamento"
"Adjustment Refund","Ajuste de reembolso"
"Agreement Information","Informação de acordo"
"Allow Reorder","Permitir re-encomendar"
"Amount","Montante"
"Amount: %s.","Montante: %s"
"An error occurred while assigning order status. Status has not been assigned.","Ocorreu um erro ao definir a informação do  estado da encomenda. O Estado não foi atribuído."
"An error occurred while creating shipping label.","Ocorreu um erro ao criar o rótulo de envio."
"An error occurred while saving order status. The status has not been added.","Ocorreu um erro ao guardar a informação do  estado da encomenda. O Estado não foi adicionado."
"An error occurred while unassigning order status.","Ocorreu um erro ao remover estados de encomenda atribuídos"
"An error occurred while updating the order address. The address has not been changed.","Ocorreu um erro ao atualizar o endereço da encomenda. O endereço não foi alterado."
"An item option with code %s already exists.","Já existe um item com o código %s."
"Anchor Custom Title","Título personalizado da âncora"
"Append Comments","Anexar comentários"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar cupão de desconto"
"Approved the payment online.","Pagamento online aprovado."
"Are you sure you want to accept this payment?","Tem a certeza que deseja aceitar este pagamento?"
"Are you sure you want to cancel this order?","Tem a certeza que deseja cancelar esta encomenda?"
"Are you sure you want to delete all items from shopping cart?","Tem a certeza que deseja remover todos os itens do seu carrinho de compras?"
"Are you sure you want to deny this payment?","Tem a certeza que deseja rejeitar este pagamento?"
"Are you sure you want to do this?","Tem a certeza que é o que deseja fazer?"
"Are you sure you want to send Creditmemo email to customer?","Tem a certeza que deseja enviar um email da Nota de Crédito ao Cliente?"
"Are you sure you want to send Invoice email to customer?","Tem a certeza que deseja enviar um email da fatura ao cliente?"
"Are you sure you want to send Shipment email to customer?","Tem a certeza que deseja enviar um email de envio ao cliente?"
"Are you sure you want to send order email to customer?","Tem a certeza que deseja enviar um email da encomenda ao cliente?"
"Are you sure you want to void the payment?","Tem a certeza que deseja anular este pagamento?"
"Are you sure?","Tem a certeza?"
"Are you sure? This order will be canceled and a new one will be created instead","Tem a certeza? Esta encomenda será cancelada e será criada uma nova."
"Assign Order Status to State","Atribuir informação de estado encomenda a estado"
"Assign Status to State","Atribuir informação de estado a estado"
"Assignment Information","Informação atribuição"
"At least a payment ID must be set.","Pelo menos o ID do pagamento tem que ser definido."
"Authorization","Autorização"
"Authorized amount of %s.","Autorizado um montante de %s."
"Authorizing amount of %s is pending approval on gateway.","A autorização do montante de %s está pendente no gateway de pagamento,"
"Back","Voltar"
"Back to Billing Agreements","Voltar aos acordos de faturação"
"Back to My Orders","Voltar para as minhas encomendas"
"Back to Recurring Profiles","Voltar às subscrições"
"Backordered","Devolução"
"Bestsellers","Mais vendidos"
"Bill to Name","Nome faturação"
"Billing","Faturação"
"Billing Address","Endereço de faturação"
"Billing Agreement","Condições de faturação"
"Billing Agreement # %s","Acordo de faturação # %s"
"Billing Agreement #%s","Acordo de faturação #%s"
"Billing Agreement View","Visualização de acordo de faturação"
"Billing Agreements","Acordos de faturação"
"Billing Last Name","Apelido de faturação"
"Billing ZIP Code","Código postal faturação"
"Buy %s for price %s","Compre %s pelo preço %s"
"CSV","CSV"
"Cancel","Cancelar"
"Cancel credit memo","Cancelar nota de crédito"
"Cancel invoice","Cancelar fatura"
"Cancel order","Cancelar encomenda"
"Canceled","Cancelado"
"Canceled order offline.","Encomenda cancelada manualmente."
"Canceled order online.","Encomenda cancelada automaticamente."
"Cannot add order history.","Não pode adicionar histórico da encomenda."
"Cannot create an empty shipment.","Não pode criar um envio vazio"
"Cannot determine the field name.","Não pode determinar o nome do campo."
"Cannot do invoice for order.","Não pode criar a fatura para a encomenda."
"Cannot do shipment for order.","Não pode criar o Envio para a encomenda."
"Cannot get order instance","Não pode obter a instância da encomenda."
"Cannot get the order instance.","Não pode obter a instância da encomenda."
"Cannot register an existing credit memo.","Não pode registar uma nota de crédito já existente."
"Cannot register existing invoice","Não pode registar uma fatura já existente."
"Cannot register existing shipment","Não pode registar um envio existente."
"Cannot send shipment information.",
"Capture","Cativar"
"Capture Amount","Montante cativar"
"Capture Invoice","Cativar fatura"
"Capture Offline","Cativar offline"
"Capture Online","Cativar online"
"Capture invoice","Cativar fatura"
"Captured amount of %s online.","Cativar um montante de %s online."
"Capturing amount of %s is pending approval on gateway.","A cobrança de %s está pendente de aprovação no serviço de pagamentos"
"Carrier","Transportadora"
"Carrier/Method","Transportador/método"
"Change status, add comments","Alterar informação do estado, adicionar comentários"
"Changing address information will not recalculate shipping, tax or other order amount.","Alterar a informação de endereços não irá recalcular o envio, taxas ou outro qualquer valor"
"Checkout Totals Sort Order","Ordem dos totais de finalização encomenda"
"City","Cidade"
"Clear Shopping Cart","Esvaziar carrinho de compras"
"Click to change shipping method","Clique para alterar o método de envio"
"Close","Fechar"
"Closed","Fechado"
"Comma-separated.","Separados por vírgula."
"Comment","Comentar"
"Comment Text","Comentário"
"Comments","Comentários"
"Comments History","Histórico de comentários"
"Company","Empresa"
"Complete","Finalizado"
"Configure","Configurar"
"Configure and Add to Order","Configurar e adicionar à encomenda"
"Contents","Conteúdo"
"Continue","Continuar"
"Controls whether customer IP is shown in orders, invoices, shipments, credit memos.","Controla se o endereço IP do cliente é mostrado nas encomendas, faturas, envios, notas de crédito."
"Country","País"
"Coupons","Cupões"
"Create","Criar"
"Create New Customer","Criar novo cliente"
"Create New Order","Criar nova encomenda"
