"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d regras do carrinho de compras baseadas no atributo ""%s"" foram desativadas."
"%s Coupon(s) have been generated","%s cupão(ões) foram gerados"
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar nova regra"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"An error occurred while generating coupons. Please review the log and try again.","Ocorreu um erro ao gerar cupões. Por favor reveja o ficheiro de registos e tente novamente."
"Apply","Aplicar"
"Apply To","Aplicar a"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra apenas se as seguintes condições se verificarem (deixe em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra apenas a itens do carrinho de compras que cumpram as seguintes condições (deixe em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Aplicar a regra a itens do carrinho de compras que cumpram as seguintes condições"
"Apply to Shipping Amount","Aplicar ao montante de envio"
"Are you sure you want to delete the selected coupon(s)?","Tem a certeza que deseja remover os cupões selecionado(s)?"
"Auto","Automático"
"Auto Generated Specific Coupon Codes","Códigos de cupão específicos gerados automaticamente"
"Buy X get Y free (discount amount is Y)","Compre X e leve Y grátis (quantidade de desconto é Y)"
"By Fixed value","Por valor fixo"
"By Percentage","Por percentagem"
"Can\'t acquire coupon.","Não foi possível capturar o cupão"
"Cart Attribute","Atributo de carrinho"
"Catalog","Catálogo"
"Code Format","Formato código"
"Code Length","Cumprimento código"
"Code Prefix","Prefixo código"
"Code Suffix","Sufixo código"
"Conditions","Condições"
"Conditions combination","Combinação de condições"
"Coupon","Cupão"
"Coupon Code","Código cupão"
"Coupon Qty","Qtd. cupão"
"Coupon with the same code","Cupão com o mesmo código"
"Coupons Information","Informação cupões"
"Created On","Criado em"
"Customer Groups","Grupos de clientes"
"Dash Every X Characters","Hífen a cada X caracteres"
"Date Expire","Data término"
"Date Start","Data início"
"Default Label","Título por omissão"
"Default Rule Label for All Store Views","Título da regra por omissão para todas as vistas de lojas"
"Description","Descrição"
"Discount Amount","Valor desconto"
"Discount Qty Step (Buy X)","Qt desconto (compre X)"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra '%s'"
"Excluding prefix, suffix and separators.","Excluindo prefixo, sufixo e separadores"
