"Action","Ação"
"Add Sitemap","Adicionar mapa do site"
"Always","Sempre"
"CMS Pages Options","Opções de páginas no CMS"
"Categories Options","Opções de categorias"
"Daily","Diariamente"
"Edit Sitemap","Editar mapa do site"
"Enabled","Ativo"
"Error Email Recipient","Email do destinatário de erros"
"Error Email Sender","Email do remetente de erros"
"Error Email Template","Template do email de erros"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","O ficheiro ""%s"" não pode ser salvo. Por favor, confirme que o diretório ""%s"" tem privilégios de escrita pelo servidor"
"Filename","Nome ficheiro"
"Frequency","Frequência"
"Generate","Gerar"
"Generation Settings","Opções gerais"
"Google Sitemap","Mapa site Google"
"Hourly","todas as horas"
"ID","ID"
"Last Time Generated","Gerado pela última vez"
"Link for Google","Ligação para Google"
"Monthly","Mensalmente"
"Never","Nunca"
"New Sitemap","Novo mapa do site"
"Path","Caminho"
"Please create the specified folder ""%s"" before saving the sitemap.","Por favor, crie a pasta ""%s"" antes de guardar o mapa do sítio"
"Please define correct path","Por favor, defina o caminho correto"
"Please make sure that ""%s"" is writable by web-server.","Por favor, confirme que ""%s"" tem permissões de escrita pelo servidor"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Por favor, utilize apenas letras (a-zA-Z), números(0-9) ou sublinhado(_) no nome do ficheiro. Não são permitidos espaços ou outros caracteres"
"Priority","Prioridade"
"Products Options","Opções produtos"
"Sitemap","Mapa do site"
"Sitemap generate Warnings","Alertas ao gerar mapa do site"
"Start Time","Tempo início"
"Store View","Vista de loja"
"The priority must be between 0 and 1.","A prioridade deve ser entre 0 e 1."
"The sitemap ""%s"" has been generated.","O mapa do sítio ""%s"" foi gerado."
"The sitemap has been deleted.","O mapa do sítio foi removido."
"The sitemap has been saved.","O mapa do sítio foi guardado."
"This sitemap no longer exists.","O mapa do sítio não existe."
"Unable to find a sitemap to delete.","Não foi possível encontrar o mapa do sítio para remover"
"Unable to find a sitemap to generate.","Não foi possível encontrar o mapa do sítio para gerar"
"Unable to generate the sitemap.","Não foi possível gerar o mapa do sítio"
"Valid values range: from 0.0 to 1.0.","Intervalo de valores válido: de 0.0 a 1.0"
"Weekly","Semanalmente"
"Yearly","Anualmente"
