"# of Uses","# de utilizações"
"%s tag(s) have been accepted for moderation.","%s etiqueta(s) foram aceites para moderação."
"<strong>Tag Name:</strong> %s","<strong>Nome da etiqueta:</strong> %s"
"Action","Ação"
"Add","Adicionar"
"Add New Tag","Adicionar nova etiqueta"
"Add Tags","Adicionar etiquetas"
"Add Your Tags:","Adicionar as suas etiquetas:"
"Add tag(s) to product","Adicionar etiqueta(s) ao produto"
"Add to Cart","Adicionar ao carrinho"
"Add to Wishlist","Adicionar aos favoritos"
"All Tags","Todas as etiquetas"
"Approved","Aprovado"
"Are you sure you want to delete this tag?","Tem a certeza que deseja remover este etiqueta?"
"Are you sure you want to do this?","Tem a certeza que é o que deseja fazer?"
"Are you sure?","Tem a certeza?"
"Back","Voltar"
"Back to Tags List","Voltar à listagem de etiquetas"
"Base Popularity","Popularidade base"
"Block Information","Informação do bloco"
"CSV","CSV"
"Catalog Product View","Catálogo produto visualizar"
"Change status","Alterar estado"
"Click on a tag to view your corresponding products.","Clica na etiqueta para visualizar os produtos associados"
"Country","País"
"Customer My Account My Tags List","Cliente a minha conta a minha lista de etiquetas"
"Customer My Account Tag View","Cliente a minha conta análise da etiqueta"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Customers Submitted this Tag","Clientes que enviaram esta etiqueta"
"Customers Tagged '%s'","Clientes com a etiqueta '%s'"
"Delete","Remover"
"Delete Tag","Remover etiqueta"
"Disabled","Inativo"
"Edit Tag '%s'","Editar etiqueta '%s'"
"Email","Email"
"First Name","Primeiro nome"
"General Information","Informação geral"
"Grid","Grelha"
"ID","ID"
"Info","Info"
"Last Name","Apelido"
"List","Lista"
"Manage Tags","Gerir etiquetas"
"Middle Name","Nome do meio"
"My Recent Tags","As minha etiquetas recentes"
"My Tags","As minhas etiquetas"
"Name","Nome"
"New Tag","Nova etiqueta"
"No matches found.","Não foram encontrados resultados"
"Other people marked this product with these tags:","Outros marcaram este produto com as seguintes etiquetas:"
"Pending","Pendente"
"Pending Tags","Etiquetas pendentes"
"Popular","Popular"
"Popular Tags","Etiquetas populares"
"Price","Preço"
"Product Name","Nome produto"
"Product SKU","SKU do produto"
"Product Tag API","API etiquetas produto"
"Product Tags","Etiquetas de produtos"
"Products","Produtos"
"Products Tagged by Administrators","Produtos etiquetados por administradores"
"Products Tagged by Customers","Produtos etiquetados por clientes"
"Products Tagged with '%s'","Produtos etiquetados com '%s'"
"Products tagged with '%s'","Produtos etiquetados com '%s'"
"Rebuild Tag aggregation data","Reconstruir dados de agregação de etiquetas"
"Remove","Remover"
"Remove product tag","Remover etiqueta do produto"
"Retrieve list of tags by product","Obter lista de etiquetas por produto"
"Retrieve product tag info","Obter informação da etiqueta do produto"
"SKU","SKU"
"Save Tag","Guardar etiqueta"
"Save and Continue Edit","Guardar e continuar edição"
"Status","Estado"
"Store View","Vista de loja"
"Tag","Etiqueta"
"Tag ""%s"" has already been added to the product.","A etiqueta ""%s"" já foi adicionada ao produto."
"Tag ""%s"" has been added to the product.","A etiqueta ""%s"" foi adicionada ao produto"
"Tag ""%s"" has been rejected by administrator.","A etiqueta ""%s"" foi rejeitada pelo administrador."
"Tag Aggregation Data","Dados de agregação de etiquetas"
"Tag Name","Nome da etiqueta"
"Tagged Products List","Lista de produtos com etiquetas"
"Tags","Etiquetas"
"Tags List (All Available)","Listagem de etiquetas (todas as disponíveis)"
"Tags List Before","Etiquetas antes listagem"
"Tags:","Etiquetas:"
"Telephone","Telefone"
"The tag has been deleted.","A etiqueta foi removida"
"There are no tags available.","Não existem etiquetas disponíveis"
"Unable to find any products tagged with '%s' in the current store","Não foi possível encontrar nenhum produto com a etiqueta '%s' na loja atual"
"Unable to remove tag. Please, try again later.","Não foi possível remover a etiqueta. Por favor tente novamente mais tarde."
"Unable to save tag(s).","Não foi possível guardar a(s) etiqueta(s)"
"Update","Atualizar"
"Update product tag","Atualizar etiqueta do produto"
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilize um espaço para separar as etiquetas. Utilize aspas simples (') para frases."
"View All Tags","Ver todas as etiquetas"
"View Customers","Ver clientes"
"View Products","Ver produtos"
"XML","XML"
"You have not tagged any products yet.","Ainda não etiquetou nenhum produto"
"ZIP/Post Code","Código Postal"
"[STORE VIEW]","[VISTA DE LOJA]"
