"All Websites","Todos os sites"
"Apply Discounts To FPT","Aplicar descontos a FPT"
"Apply Tax To FPT","Aplicar impostos a FPT"
"Display Prices In Emails","Mostrar preços nos emails"
"Display Prices In Product Lists","Mostrar preços nas lista de produtos"
"Display Prices In Sales Modules","Mostrar preços nos módulos de venda"
"Display Prices On Product View Page","Mostrar preços na página do produto"
"Enable FPT","Ativar FPT"
"Excluding FPT","Excluindo FPT"
"Excluding FPT, FPT description, final price","Excluindo FPT, descrição FPT, preço final"
"FPT Tax Configuration","Configuração imposto FPT"
"Fixed Product Tax","Imposto de produto fixo"
"Fixed Product Taxes","Impostos de produtos fixos"
"Include FPT In Subtotal","Incluir FPT no subtotal"
"Including FPT and FPT description","Incluíndo descrição FPT e FTP"
"Including FPT and FPT description [incl. FPT VAT]","Incluir FPT e descrição FPT [com FPT VAT]"
"Including FPT only","Incluindo apenas FPT"
"Loaded and Displayed with Tax","Carregado e mostrado com imposto"
"Not Taxed","Não taxado"
"Taxed","Taxado"
"Total","Total"
"Total Incl. Tax","Total com imposto"
"Total excl. tax","Total excl. imposto"
"Total incl. tax","Total com imposto"
"Total:","Total:"
